alpha3,Indicator,Time period,Value2,CI95_low,CI95_high,country-code,Dim1 type
AFG, Continued breastfeeding (12-23 months) %,2015,73.8,71.8,75.7,4,
AGO, Continued breastfeeding (12-23 months) %,2015,66.6,63.9,69.2,24,
ALB, Continued breastfeeding (12-23 months) %,2009,44.6,36.5,53.1,8,
ARG, Continued breastfeeding (12-23 months) %,2011,39.1,35.2,43.1,32,
ARM, Continued breastfeeding (12-23 months) %,2010,28.9,23.7,34.8,51,
AUS, Continued breastfeeding (12-23 months) %,2017,20.0,,,36,
AZE, Continued breastfeeding (12-23 months) %,2006,26.4,20.7,33.0,31,
BDI, Continued breastfeeding (12-23 months) %,2010,88.9,87.1,90.6,108,
BEN, Continued breastfeeding (12-23 months) %,2012,67.9,65.7,70.1,204,
BFA, Continued breastfeeding (12-23 months) %,2010,90.5,89.3,91.5,854,
BGD, Continued breastfeeding (12-23 months) %,2011,93.1,91.5,94.4,50,
BIH, Continued breastfeeding (12-23 months) %,2012,11.7,9.1,15.0,70,
BLR, Continued breastfeeding (12-23 months) %,2012,17.4,13.7,21.7,112,
BLZ, Continued breastfeeding (12-23 months) %,2011,45.7,40.4,51.1,84,
BOL, Continued breastfeeding (12-23 months) %,2008,62.9,59.8,65.9,68,
BRA, Continued breastfeeding (12-23 months) %,2019,43.6,39.4,47.7,76,
BRB, Continued breastfeeding (12-23 months) %,2012,41.1,28.5,55.0,52,
BTN, Continued breastfeeding (12-23 months) %,2010,80.4,77.6,82.9,64,
BWA, Continued breastfeeding (12-23 months) %,2017,15.2,12.4,18.6,72,
CAF, Continued breastfeeding (12-23 months) %,2010,66.1,63.2,68.8,140,
CHN, Continued breastfeeding (12-23 months) %,2017,22.2,19.0,25.4,156,
CIV, Continued breastfeeding (12-23 months) %,2012,64.9,60.7,68.8,384,
CMR, Continued breastfeeding (12-23 months) %,2011,52.8,49.7,55.8,120,
COD, Continued breastfeeding (12-23 months) %,2013,82.0,80.0,83.8,180,
COG, Continued breastfeeding (12-23 months) %,2011,43.3,39.3,47.4,178,
COL, Continued breastfeeding (12-23 months) %,2010,44.8,42.5,47.0,170,
COM, Continued breastfeeding (12-23 months) %,2012,65.2,59.7,70.2,174,
CPV, Continued breastfeeding (12-23 months) %,2018,41.5,,,132,
CRI, Continued breastfeeding (12-23 months) %,2011,39.8,32.4,47.6,188,
CUB, Continued breastfeeding (12-23 months) %,2010,21.5,15.5,29.1,192,
DOM, Continued breastfeeding (12-23 months) %,2013,25.2,20.9,30.0,214,
