Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,4,All cancers,1,11239,10958,11528,11239,103.6,53.8,11.2
1,C00-06,4,"Lip, oral cavity",1,691,447,1067,691,6.3,3.3,0.72
2,C07-08,4,Salivary glands,1,36,20,63,36,0.31,0.17,0.04
3,C09-10,4,Oropharynx,1,97,52,183,97,0.98,0.46,0.11
4,C11,4,Nasopharynx,1,87,57,132,87,0.56,0.42,0.06
5,C12-13,4,Hypopharynx,1,89,15,536,89,0.86,0.43,0.10
6,C15,4,Oesophagus,1,522,239,1138,522,5.7,2.5,0.66
7,C16,4,Stomach,1,1272,1076,1503,1272,14.0,6.1,1.7
41,C18-C21,4,Colorectum,1,618,-,-,618,6.1,3.0,0.71
11,C22,4,Liver and intrahepatic bile ducts,1,524,397,691,524,5.5,2.5,0.66
12,C23,4,Gallbladder,1,46,14,151,46,0.51,0.22,0.06
13,C25,4,Pancreas,1,211,96,465,211,2.3,1.0,0.26
14,C32,4,Larynx,1,197,13,2898,197,2.0,0.94,0.25
15,C33-34,4,"Trachea, bronchus and lung",1,1019,715,1453,1019,11.0,4.9,1.4
16,C43,4,Melanoma of skin,1,60,19,193,60,0.60,0.29,0.06
17,C44,4,Non-melanoma skin cancer,1,255,17,3751,255,2.7,1.2,0.29
18,C45,4,Mesothelioma,1,11,1,158,11,0.08,0.05,0.01
19,C46,4,Kaposi sarcoma,1,17,1,250,17,0.13,0.08,0.02
26,C60,4,Penis,1,12,1,177,12,0.10,0.06,0.01
27,C61,4,Prostate,1,521,147,1851,521,6.5,2.5,0.81
28,C62,4,Testis,1,178,58,542,178,0.93,0.85,0.07
29,C64,4,Kidney,1,369,169,807,369,3.3,1.8,0.37
30,C67,4,Bladder,1,378,37,3875,378,4.1,1.8,0.49
31,C70-72,4," Brain, central nervous system",1,655,526,816,655,4.5,3.1,0.45
32,C73,4,Thyroid,1,75,6,1009,75,0.55,0.36,0.06
33,C81,4,Hodgkin lymphoma,1,157,11,2310,157,0.89,0.75,0.09
34,C82-86+C88,4,Non-Hodgkin lymphoma,1,367,239,563,367,2.7,1.8,0.29
35,C90,4,Multiple myeloma,1,66,7,650,66,0.67,0.32,0.08
36,C91-95,4,Leukaemia,1,669,174,2572,669,3.8,3.2,0.32
