Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,32,All cancers,2,68380,67681,69087,68380,208.7,290.3,20.7
1,C00-06,32,"Lip, oral cavity",2,438,199,966,438,1.2,1.9,0.12
2,C07-08,32,Salivary glands,2,115,21,640,115,0.31,0.49,0.04
3,C09-10,32,Oropharynx,2,113,30,426,113,0.34,0.48,0.04
4,C11,32,Nasopharynx,2,42,6,321,42,0.13,0.18,0.01
5,C12-13,32,Hypopharynx,2,13,1,191,13,0.04,0.06,0.01
6,C15,32,Oesophagus,2,709,568,885,709,1.7,3.0,0.19
7,C16,32,Stomach,2,1590,1325,1908,1590,4.1,6.8,0.47
41,C18-C21,32,Colorectum,2,7230,-,-,7230,19.4,30.7,2.2
11,C22,32,Liver and intrahepatic bile ducts,2,966,784,1190,966,2.5,4.1,0.28
12,C23,32,Gallbladder,2,585,383,893,585,1.7,2.5,0.21
13,C25,32,Pancreas,2,2850,2569,3162,2850,6.8,12.1,0.77
14,C32,32,Larynx,2,192,96,386,192,0.54,0.82,0.07
15,C33-34,32,"Trachea, bronchus and lung",2,4429,4023,4875,4429,12.1,18.8,1.5
16,C43,32,Melanoma of skin,2,649,265,1589,649,1.9,2.8,0.21
17,C44,32,Non-melanoma skin cancer,2,1425,97,20964,1425,3.3,6.1,0.36
18,C45,32,Mesothelioma,2,112,64,195,112,0.30,0.48,0.04
19,C46,32,Kaposi sarcoma,2,33,2,485,33,0.11,0.14,0.01
20,C50,32,Breast,2,21631,17903,26135,21631,71.3,91.8,7.8
21,C51,32,Vulva,2,343,135,873,343,0.83,1.5,0.09
22,C52,32,Vagina,2,106,18,610,106,0.32,0.45,0.03
23,C53,32,Cervix uteri,2,4696,4036,5464,4696,16.8,19.9,1.7
24,C54,32,Corpus uteri,2,2686,1527,4726,2686,8.6,11.4,1.0
25,C56,32,Ovary,2,2191,1806,2658,2191,6.8,9.3,0.79
29,C64,32,Kidney,2,1499,1053,2134,1499,4.5,6.4,0.51
30,C67,32,Bladder,2,886,501,1567,886,2.2,3.8,0.24
31,C70-72,32," Brain, central nervous system",2,953,776,1170,953,3.2,4.1,0.31
32,C73,32,Thyroid,2,3584,244,52725,3584,13.2,15.2,1.3
33,C81,32,Hodgkin lymphoma,2,318,66,1535,318,1.1,1.4,0.09
34,C82-86+C88,32,Non-Hodgkin lymphoma,2,1819,1117,2961,1819,5.6,7.7,0.61
35,C90,32,Multiple myeloma,2,483,337,691,483,1.3,2.1,0.16
36,C91-95,32,Leukaemia,2,1307,1043,1638,1307,4.3,5.6,0.38
