Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,51,All cancers,1,5046,4859,5241,5046,257.5,361.0,26.9
1,C00-06,51,"Lip, oral cavity",1,58,11,300,58,3.2,4.2,0.42
2,C07-08,51,Salivary glands,1,10,1,108,10,0.54,0.72,0.06
3,C09-10,51,Oropharynx,1,6,2,21,6,0.30,0.43,0.03
4,C11,51,Nasopharynx,1,10,2,56,10,0.58,0.72,0.05
5,C12-13,51,Hypopharynx,1,11,1,162,11,0.53,0.79,0.08
6,C15,51,Oesophagus,1,39,20,76,39,2.0,2.8,0.26
7,C16,51,Stomach,1,362,269,487,362,18.1,25.9,2.1
41,C18-C21,51,Colorectum,1,508,-,-,508,25.0,36.3,3.1
11,C22,51,Liver and intrahepatic bile ducts,1,310,228,421,310,15.5,22.2,1.8
12,C23,51,Gallbladder,1,14,6,35,14,0.65,1.0,0.07
13,C25,51,Pancreas,1,257,196,337,257,13.0,18.4,1.5
14,C32,51,Larynx,1,123,61,249,123,6.4,8.8,0.85
15,C33-34,51,"Trachea, bronchus and lung",1,1145,972,1349,1145,57.4,81.9,6.9
16,C43,51,Melanoma of skin,1,39,3,574,39,2.2,2.8,0.24
17,C44,51,Non-melanoma skin cancer,1,62,4,912,62,3.1,4.4,0.33
18,C45,51,Mesothelioma,1,10,3,36,10,0.49,0.72,0.05
19,C46,51,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,51,Penis,1,7,1,91,7,0.33,0.50,0.03
27,C61,51,Prostate,1,763,449,1298,763,37.2,54.6,5.1
28,C62,51,Testis,1,42,3,618,42,2.9,3.0,0.23
29,C64,51,Kidney,1,125,49,318,125,6.5,8.9,0.79
30,C67,51,Bladder,1,311,191,506,311,14.8,22.3,1.7
31,C70-72,51," Brain, central nervous system",1,129,76,219,129,7.6,9.2,0.79
32,C73,51,Thyroid,1,51,3,750,51,2.7,3.7,0.32
33,C81,51,Hodgkin lymphoma,1,29,2,427,29,2.0,2.1,0.16
34,C82-86+C88,51,Non-Hodgkin lymphoma,1,68,14,336,68,3.9,4.9,0.42
35,C90,51,Multiple myeloma,1,20,5,76,20,1.0,1.4,0.13
36,C91-95,51,Leukaemia,1,94,52,169,94,5.6,6.7,0.57
