Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,36,All cancers,1,116363,115661,117069,116363,514.3,896.5,45.4
1,C00-06,36,"Lip, oral cavity",1,1796,1592,2026,1796,8.4,13.8,1.0
2,C07-08,36,Salivary glands,1,232,151,356,232,0.96,1.8,0.10
3,C09-10,36,Oropharynx,1,855,767,954,855,4.4,6.6,0.54
4,C11,36,Nasopharynx,1,134,77,234,134,0.72,1.0,0.08
5,C12-13,36,Hypopharynx,1,188,137,258,188,0.79,1.5,0.10
6,C15,36,Oesophagus,1,1288,1074,1544,1288,5.1,9.9,0.62
7,C16,36,Stomach,1,1753,1566,1962,1753,7.0,13.5,0.82
41,C18-C21,36,Colorectum,1,8945,-,-,8945,37.8,68.9,4.2
11,C22,36,Liver and intrahepatic bile ducts,1,2458,2252,2683,2458,11.4,18.9,1.4
12,C23,36,Gallbladder,1,134,86,208,134,0.48,1.0,0.05
13,C25,36,Pancreas,1,1908,1644,2214,1908,7.2,14.7,0.84
14,C32,36,Larynx,1,512,444,590,512,2.1,3.9,0.27
15,C33-34,36,"Trachea, bronchus and lung",1,7353,7042,7677,7353,27.1,56.7,3.2
16,C43,36,Melanoma of skin,1,10902,9970,11921,10902,45.9,84.0,5.1
17,C44,36,Non-melanoma skin cancer,1,35403,4498,278649,35403,170.0,272.8,18.3
18,C45,36,Mesothelioma,1,777,616,980,777,2.8,6.0,0.33
19,C46,36,Kaposi sarcoma,1,34,19,60,34,0.16,0.26,0.02
26,C60,36,Penis,1,127,72,224,127,0.51,0.98,0.06
27,C61,36,Prostate,1,18213,17630,18815,18213,77.2,140.3,9.8
28,C62,36,Testis,1,982,850,1134,982,7.3,7.6,0.56
29,C64,36,Kidney,1,3013,2765,3283,3013,14.1,23.2,1.6
30,C67,36,Bladder,1,3431,3073,3831,3431,12.0,26.4,1.3
31,C70-72,36," Brain, central nervous system",1,1253,1122,1400,1253,6.7,9.7,0.68
32,C73,36,Thyroid,1,961,779,1186,961,5.3,7.4,0.55
33,C81,36,Hodgkin lymphoma,1,438,368,521,438,2.9,3.4,0.25
34,C82-86+C88,36,Non-Hodgkin lymphoma,1,3357,3006,3749,3357,14.7,25.9,1.6
35,C90,36,Multiple myeloma,1,1188,984,1435,1188,4.6,9.2,0.53
36,C91-95,36,Leukaemia,1,3581,3042,4216,3581,16.0,27.6,1.6
