Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,44,All cancers,1,477,422,539,477,214.4,245.0,21.7
1,C00-06,44,"Lip, oral cavity",1,6,0,88,6,2.5,3.1,0.32
2,C07-08,44,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,44,Oropharynx,1,2,0,29,2,1.0,1.0,0.17
4,C11,44,Nasopharynx,1,0,0,0,0,0.00,0.00,0.00
5,C12-13,44,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,44,Oesophagus,1,8,1,82,8,3.4,4.1,0.43
7,C16,44,Stomach,1,23,4,123,23,10.5,11.8,1.3
41,C18-C21,44,Colorectum,1,56,-,-,56,25.4,28.8,2.6
11,C22,44,Liver and intrahepatic bile ducts,1,15,2,137,15,7.0,7.7,0.79
12,C23,44,Gallbladder,1,2,0,29,2,0.81,1.0,0.00
13,C25,44,Pancreas,1,9,1,87,9,4.2,4.6,0.39
14,C32,44,Larynx,1,9,1,132,9,4.2,4.6,0.26
15,C33-34,44,"Trachea, bronchus and lung",1,30,7,128,30,13.1,15.4,1.6
16,C43,44,Melanoma of skin,1,3,0,44,3,1.2,1.5,0.04
17,C44,44,Non-melanoma skin cancer,1,12,1,177,12,5.7,6.2,0.75
18,C45,44,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,44,Kaposi sarcoma,1,5,0,74,5,2.2,2.6,0.28
26,C60,44,Penis,1,2,0,29,2,0.70,1.0,0.09
27,C61,44,Prostate,1,199,42,937,199,89.1,102.2,10.4
28,C62,44,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,44,Kidney,1,4,0,59,4,1.8,2.1,0.25
30,C67,44,Bladder,1,4,0,59,4,1.6,2.1,0.18
31,C70-72,44," Brain, central nervous system",1,4,0,59,4,1.7,2.1,0.20
32,C73,44,Thyroid,1,12,1,177,12,5.4,6.2,0.44
33,C81,44,Hodgkin lymphoma,1,3,0,44,3,1.4,1.5,0.10
34,C82-86+C88,44,Non-Hodgkin lymphoma,1,17,1,250,17,7.4,8.7,0.77
35,C90,44,Multiple myeloma,1,12,1,142,12,5.4,6.2,0.72
36,C91-95,44,Leukaemia,1,15,1,221,15,7.7,7.7,0.66
