Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,50,All cancers,2,72334,71614,73061,72334,89.5,87.1,9.3
1,C00-06,50,"Lip, oral cavity",2,5298,5120,5482,5298,6.9,6.4,0.81
2,C07-08,50,Salivary glands,2,300,282,319,300,0.37,0.36,0.04
3,C09-10,50,Oropharynx,2,663,556,791,663,0.84,0.80,0.09
4,C11,50,Nasopharynx,2,280,241,326,280,0.34,0.34,0.04
5,C12-13,50,Hypopharynx,2,1211,1059,1385,1211,1.6,1.5,0.18
6,C15,50,Oesophagus,2,8654,7771,9637,8654,11.2,10.4,1.3
7,C16,50,Stomach,2,2715,2603,2832,2715,3.4,3.3,0.39
41,C18-C21,50,Colorectum,2,2475,-,-,2475,3.1,3.0,0.34
11,C22,50,Liver and intrahepatic bile ducts,2,852,818,887,852,1.1,1.0,0.13
12,C23,50,Gallbladder,2,6155,5061,7485,6155,7.7,7.4,0.84
13,C25,50,Pancreas,2,579,526,638,579,0.74,0.70,0.08
14,C32,50,Larynx,2,758,651,883,758,0.97,0.91,0.11
15,C33-34,50,"Trachea, bronchus and lung",2,2967,2823,3119,2967,4.0,3.6,0.49
16,C43,50,Melanoma of skin,2,190,164,220,190,0.22,0.23,0.02
17,C44,50,Non-melanoma skin cancer,2,449,413,488,449,0.55,0.54,0.06
18,C45,50,Mesothelioma,2,6,6,6,6,0.01,0.01,0.00
19,C46,50,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,50,Breast,2,12989,12911,13068,12989,15.2,15.6,1.6
21,C51,50,Vulva,2,287,261,316,287,0.37,0.35,0.04
22,C52,50,Vagina,2,238,229,248,238,0.31,0.29,0.03
23,C53,50,Cervix uteri,2,9640,9561,9720,9640,11.3,11.6,1.2
24,C54,50,Corpus uteri,2,995,970,1021,995,1.2,1.2,0.13
25,C56,50,Ovary,2,2846,2816,2876,2846,3.3,3.4,0.33
29,C64,50,Kidney,2,572,536,610,572,0.76,0.69,0.08
30,C67,50,Bladder,2,265,253,277,265,0.36,0.32,0.04
31,C70-72,50," Brain, central nervous system",2,504,493,515,504,0.61,0.61,0.06
32,C73,50,Thyroid,2,1133,1096,1171,1133,1.3,1.4,0.13
33,C81,50,Hodgkin lymphoma,2,156,150,162,156,0.19,0.19,0.02
34,C82-86+C88,50,Non-Hodgkin lymphoma,2,1010,977,1044,1010,1.3,1.2,0.14
35,C90,50,Multiple myeloma,2,285,276,294,285,0.37,0.34,0.04
36,C91-95,50,Leukaemia,2,1189,1161,1217,1189,1.4,1.4,0.14
