Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,52,All cancers,1,578,517,646,578,224.5,414.0,23.9
1,C00-06,52,"Lip, oral cavity",1,8,1,107,8,2.8,5.7,0.27
2,C07-08,52,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,52,Oropharynx,1,7,0,103,7,2.8,5.0,0.37
4,C11,52,Nasopharynx,1,2,0,29,2,1.3,1.4,0.11
5,C12-13,52,Hypopharynx,1,8,1,118,8,3.1,5.7,0.37
6,C15,52,Oesophagus,1,4,1,13,4,1.3,2.9,0.12
7,C16,52,Stomach,1,22,8,59,22,7.6,15.8,1.0
41,C18-C21,52,Colorectum,1,78,-,-,78,30.2,55.9,3.6
11,C22,52,Liver and intrahepatic bile ducts,1,8,2,32,8,3.2,5.7,0.37
12,C23,52,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,52,Pancreas,1,23,10,54,23,7.9,16.5,0.94
14,C32,52,Larynx,1,9,1,76,9,2.8,6.5,0.36
15,C33-34,52,"Trachea, bronchus and lung",1,33,15,74,33,13.2,23.6,1.6
16,C43,52,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,52,Non-melanoma skin cancer,1,10,1,147,10,4.9,7.2,0.63
18,C45,52,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,52,Kaposi sarcoma,1,6,0,88,6,4.1,4.3,0.33
26,C60,52,Penis,1,1,0,15,1,0.41,0.72,0.07
27,C61,52,Prostate,1,263,125,555,263,100.5,188.4,11.9
28,C62,52,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,52,Kidney,1,19,3,125,19,9.0,13.6,0.96
30,C67,52,Bladder,1,8,1,48,8,2.7,5.7,0.44
31,C70-72,52," Brain, central nervous system",1,2,0,29,2,0.86,1.4,0.12
32,C73,52,Thyroid,1,2,0,29,2,0.50,1.4,0.00
33,C81,52,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,52,Non-Hodgkin lymphoma,1,10,1,147,10,4.0,7.2,0.33
35,C90,52,Multiple myeloma,1,15,3,67,15,6.1,10.7,0.76
36,C91-95,52,Leukaemia,1,16,6,46,16,7.6,11.5,0.74
