Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,112,All cancers,1,24933,24551,25321,24933,360.5,567.3,36.8
1,C00-06,112,"Lip, oral cavity",1,751,661,853,751,11.2,17.1,1.3
2,C07-08,112,Salivary glands,1,65,50,85,65,0.98,1.5,0.11
3,C09-10,112,Oropharynx,1,443,377,521,443,6.6,10.1,0.82
4,C11,112,Nasopharynx,1,23,15,35,23,0.35,0.52,0.04
5,C12-13,112,Hypopharynx,1,368,302,449,368,5.5,8.4,0.68
6,C15,112,Oesophagus,1,529,449,624,529,7.6,12.0,0.99
7,C16,112,Stomach,1,1725,1601,1859,1725,24.5,39.3,3.1
41,C18-C21,112,Colorectum,1,3086,-,-,3086,43.4,70.2,5.5
11,C22,112,Liver and intrahepatic bile ducts,1,418,319,548,418,6.1,9.5,0.78
12,C23,112,Gallbladder,1,27,18,41,27,0.37,0.61,0.05
13,C25,112,Pancreas,1,765,682,858,765,10.9,17.4,1.3
14,C32,112,Larynx,1,678,600,767,678,9.8,15.4,1.3
15,C33-34,112,"Trachea, bronchus and lung",1,4006,3712,4323,4006,56.5,91.2,7.3
16,C43,112,Melanoma of skin,1,431,346,537,431,6.5,9.8,0.75
17,C44,112,Non-melanoma skin cancer,1,612,523,716,612,8.5,13.9,0.87
18,C45,112,Mesothelioma,1,26,17,39,26,0.37,0.59,0.05
19,C46,112,Kaposi sarcoma,1,18,11,30,18,0.26,0.41,0.03
26,C60,112,Penis,1,60,46,78,60,0.86,1.4,0.10
27,C61,112,Prostate,1,4972,4680,5282,4972,68.2,113.1,9.2
28,C62,112,Testis,1,138,86,223,138,2.7,3.1,0.23
29,C64,112,Kidney,1,1540,1402,1692,1540,22.9,35.0,2.8
30,C67,112,Bladder,1,1195,1094,1306,1195,16.8,27.2,2.1
31,C70-72,112," Brain, central nervous system",1,289,241,346,289,5.2,6.6,0.52
32,C73,112,Thyroid,1,219,135,355,219,3.9,5.0,0.37
33,C81,112,Hodgkin lymphoma,1,110,86,141,110,2.3,2.5,0.19
34,C82-86+C88,112,Non-Hodgkin lymphoma,1,505,434,587,505,7.8,11.5,0.88
35,C90,112,Multiple myeloma,1,175,136,226,175,2.5,4.0,0.32
36,C91-95,112,Leukaemia,1,625,511,764,625,10.3,14.2,1.1
