Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,56,All cancers,2,37487,36974,38007,37487,306.6,637.9,29.0
1,C00-06,56,"Lip, oral cavity",2,380,322,448,380,3.0,6.5,0.36
2,C07-08,56,Salivary glands,2,54,41,72,54,0.51,0.92,0.05
3,C09-10,56,Oropharynx,2,141,110,180,141,1.2,2.4,0.15
4,C11,56,Nasopharynx,2,16,10,26,16,0.21,0.27,0.02
5,C12-13,56,Hypopharynx,2,53,39,72,53,0.41,0.90,0.06
6,C15,56,Oesophagus,2,302,253,360,302,2.1,5.1,0.27
7,C16,56,Stomach,2,517,459,583,517,3.6,8.8,0.41
41,C18-C21,56,Colorectum,2,3638,-,-,3638,25.0,61.9,2.8
11,C22,56,Liver and intrahepatic bile ducts,2,429,367,501,429,2.5,7.3,0.26
12,C23,56,Gallbladder,2,58,40,85,58,0.35,0.99,0.04
13,C25,56,Pancreas,2,1155,1057,1262,1155,6.6,19.7,0.70
14,C32,56,Larynx,2,71,51,99,71,0.63,1.2,0.08
15,C33-34,56,"Trachea, bronchus and lung",2,3167,2969,3378,3167,24.4,53.9,3.2
16,C43,56,Melanoma of skin,2,2356,2230,2489,2356,25.3,40.1,2.6
17,C44,56,Non-melanoma skin cancer,2,3676,3506,3855,3676,18.8,62.6,1.9
18,C45,56,Mesothelioma,2,65,50,85,65,0.42,1.1,0.05
19,C46,56,Kaposi sarcoma,2,11,6,22,11,0.10,0.19,0.01
20,C50,56,Breast,2,11255,10919,11602,11255,104.4,191.5,11.0
21,C51,56,Vulva,2,265,219,320,265,1.9,4.5,0.21
22,C52,56,Vagina,2,53,39,72,53,0.44,0.90,0.05
23,C53,56,Cervix uteri,2,531,464,608,531,6.3,9.0,0.62
24,C54,56,Corpus uteri,2,1396,1279,1524,1396,10.0,23.8,1.3
25,C56,56,Ovary,2,830,758,908,830,6.9,14.1,0.81
29,C64,56,Kidney,2,661,583,750,661,5.3,11.3,0.60
30,C67,56,Bladder,2,940,861,1026,940,6.0,16.0,0.71
31,C70-72,56," Brain, central nervous system",2,375,326,432,375,4.0,6.4,0.40
32,C73,56,Thyroid,2,784,698,881,784,10.3,13.3,0.97
33,C81,56,Hodgkin lymphoma,2,163,124,214,163,2.6,2.8,0.21
34,C82-86+C88,56,Non-Hodgkin lymphoma,2,1159,1052,1277,1159,8.8,19.7,0.97
35,C90,56,Multiple myeloma,2,474,404,556,474,3.3,8.1,0.41
36,C91-95,56,Leukaemia,2,1036,940,1142,1036,9.4,17.6,0.95
