Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,64,All cancers,1,356,312,406,356,90.5,84.8,10.2
1,C00-06,64,"Lip, oral cavity",1,17,17,17,17,4.3,4.1,0.51
2,C07-08,64,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,64,Oropharynx,1,6,6,6,6,1.7,1.4,0.25
4,C11,64,Nasopharynx,1,9,6,13,9,2.3,2.1,0.28
5,C12-13,64,Hypopharynx,1,10,10,10,10,2.5,2.4,0.27
6,C15,64,Oesophagus,1,27,26,28,27,7.0,6.4,0.85
7,C16,64,Stomach,1,78,73,83,78,20.0,18.6,2.4
41,C18-C21,64,Colorectum,1,20,-,-,20,5.0,4.8,0.57
11,C22,64,Liver and intrahepatic bile ducts,1,26,24,28,26,6.4,6.2,0.75
12,C23,64,Gallbladder,1,5,5,6,5,1.4,1.2,0.20
13,C25,64,Pancreas,1,11,9,13,11,2.9,2.6,0.37
14,C32,64,Larynx,1,11,11,11,11,2.8,2.6,0.32
15,C33-34,64,"Trachea, bronchus and lung",1,26,26,26,26,6.5,6.2,0.78
16,C43,64,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,64,Non-melanoma skin cancer,1,6,5,7,6,1.7,1.4,0.23
18,C45,64,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,64,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,64,Penis,1,4,4,4,4,1.2,0.95,0.15
27,C61,64,Prostate,1,5,5,5,5,1.1,1.2,0.12
28,C62,64,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,64,Kidney,1,2,2,2,2,0.59,0.48,0.08
30,C67,64,Bladder,1,4,4,4,4,0.93,0.95,0.12
31,C70-72,64," Brain, central nervous system",1,9,9,9,9,2.1,2.1,0.22
32,C73,64,Thyroid,1,1,1,1,1,0.27,0.24,0.03
33,C81,64,Hodgkin lymphoma,1,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,64,Non-Hodgkin lymphoma,1,3,3,3,3,0.94,0.71,0.13
35,C90,64,Multiple myeloma,1,2,2,2,2,0.60,0.48,0.09
36,C91-95,64,Leukaemia,1,13,13,13,13,3.1,3.1,0.26
