Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,68,All cancers,2,9887,9623,10158,9887,159.4,165.4,15.5
1,C00-06,68,"Lip, oral cavity",2,29,3,296,29,0.44,0.49,0.07
2,C07-08,68,Salivary glands,2,32,2,471,32,0.55,0.54,0.06
3,C09-10,68,Oropharynx,2,31,2,456,31,0.54,0.52,0.06
4,C11,68,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,68,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,68,Oesophagus,2,46,19,111,46,0.79,0.77,0.12
7,C16,68,Stomach,2,483,366,637,483,7.5,8.1,0.88
41,C18-C21,68,Colorectum,2,336,-,-,336,5.4,5.6,0.65
11,C22,68,Liver and intrahepatic bile ducts,2,487,388,612,487,7.4,8.2,0.83
12,C23,68,Gallbladder,2,599,475,756,599,8.4,10.0,0.94
13,C25,68,Pancreas,2,209,149,294,209,2.8,3.5,0.29
14,C32,68,Larynx,2,35,2,515,35,0.58,0.59,0.08
15,C33-34,68,"Trachea, bronchus and lung",2,394,301,517,394,6.0,6.6,0.71
16,C43,68,Melanoma of skin,2,204,37,1110,204,3.0,3.4,0.26
17,C44,68,Non-melanoma skin cancer,2,407,28,5987,407,4.8,6.8,0.37
18,C45,68,Mesothelioma,2,4,0,59,4,0.06,0.07,0.02
19,C46,68,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,68,Breast,2,1679,865,3259,1679,26.8,28.1,2.5
21,C51,68,Vulva,2,27,2,397,27,0.51,0.45,0.08
22,C52,68,Vagina,2,28,2,412,28,0.49,0.47,0.04
23,C53,68,Cervix uteri,2,2213,1696,2887,2213,38.7,37.0,3.9
24,C54,68,Corpus uteri,2,539,160,1821,539,9.7,9.0,1.0
25,C56,68,Ovary,2,169,89,323,169,3.1,2.8,0.34
29,C64,68,Kidney,2,191,99,370,191,2.6,3.2,0.26
30,C67,68,Bladder,2,41,3,603,41,0.80,0.69,0.09
31,C70-72,68," Brain, central nervous system",2,142,93,217,142,2.3,2.4,0.24
32,C73,68,Thyroid,2,191,13,2810,191,3.3,3.2,0.36
33,C81,68,Hodgkin lymphoma,2,39,3,574,39,0.63,0.65,0.08
34,C82-86+C88,68,Non-Hodgkin lymphoma,2,151,36,638,151,2.5,2.5,0.26
35,C90,68,Multiple myeloma,2,16,3,78,16,0.28,0.27,0.05
36,C91-95,68,Leukaemia,2,241,133,436,241,3.7,4.0,0.26
