Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,68,All cancers,1,7692,7460,7931,7692,129.6,127.9,14.0
1,C00-06,68,"Lip, oral cavity",1,42,3,544,42,0.75,0.70,0.13
2,C07-08,68,Salivary glands,1,54,5,618,54,0.82,0.90,0.05
3,C09-10,68,Oropharynx,1,52,4,765,52,0.95,0.86,0.10
4,C11,68,Nasopharynx,1,4,0,59,4,0.08,0.07,0.01
5,C12-13,68,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,68,Oesophagus,1,121,79,186,121,2.1,2.0,0.23
7,C16,68,Stomach,1,609,479,774,609,10.2,10.1,1.2
41,C18-C21,68,Colorectum,1,365,-,-,365,6.7,6.1,0.89
11,C22,68,Liver and intrahepatic bile ducts,1,397,307,513,397,6.2,6.6,0.61
12,C23,68,Gallbladder,1,407,309,535,407,6.8,6.8,0.81
13,C25,68,Pancreas,1,186,132,262,186,3.1,3.1,0.41
14,C32,68,Larynx,1,113,47,272,113,2.0,1.9,0.31
15,C33-34,68,"Trachea, bronchus and lung",1,769,642,921,769,11.6,12.8,1.1
16,C43,68,Melanoma of skin,1,103,8,1293,103,2.0,1.7,0.24
17,C44,68,Non-melanoma skin cancer,1,361,25,5311,361,5.3,6.0,0.72
18,C45,68,Mesothelioma,1,8,1,82,8,0.14,0.13,0.01
19,C46,68,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,68,Penis,1,194,41,907,194,2.4,3.2,0.12
27,C61,68,Prostate,1,1935,1183,3164,1935,34.2,32.2,4.4
28,C62,68,Testis,1,82,6,1206,82,1.4,1.4,0.13
29,C64,68,Kidney,1,199,92,430,199,3.4,3.3,0.38
30,C67,68,Bladder,1,82,9,749,82,1.4,1.4,0.17
31,C70-72,68," Brain, central nervous system",1,126,75,213,126,2.3,2.1,0.27
32,C73,68,Thyroid,1,56,7,451,56,0.90,0.93,0.10
33,C81,68,Hodgkin lymphoma,1,104,7,1510,104,1.8,1.7,0.19
34,C82-86+C88,68,Non-Hodgkin lymphoma,1,144,42,489,144,2.5,2.4,0.29
35,C90,68,Multiple myeloma,1,31,10,98,31,0.57,0.52,0.06
36,C91-95,68,Leukaemia,1,378,224,637,378,6.1,6.3,0.45
