Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,96,All cancers,1,396,357,440,396,171.7,171.5,18.2
1,C00-06,96,"Lip, oral cavity",1,0,0,0,0,0.00,0.00,0.00
2,C07-08,96,Salivary glands,1,2,0,16,2,0.66,0.87,0.07
3,C09-10,96,Oropharynx,1,0,0,0,0,0.00,0.00,0.00
4,C11,96,Nasopharynx,1,22,10,47,22,8.7,9.5,1.1
5,C12-13,96,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,96,Oesophagus,1,5,1,40,5,2.3,2.2,0.30
7,C16,96,Stomach,1,25,12,51,25,11.3,10.8,1.2
41,C18-C21,96,Colorectum,1,91,-,-,91,37.7,39.4,4.3
11,C22,96,Liver and intrahepatic bile ducts,1,29,15,57,29,12.5,12.6,1.5
12,C23,96,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,96,Pancreas,1,8,2,42,8,3.5,3.5,0.41
14,C32,96,Larynx,1,1,0,8,1,0.32,0.43,0.04
15,C33-34,96,"Trachea, bronchus and lung",1,57,36,90,57,25.6,24.7,3.0
16,C43,96,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,96,Non-melanoma skin cancer,1,13,5,35,13,5.8,5.6,0.65
18,C45,96,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,96,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,96,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,96,Prostate,1,43,25,75,43,21.4,18.6,2.6
28,C62,96,Testis,1,3,0,24,3,1.2,1.3,0.08
29,C64,96,Kidney,1,12,4,34,12,4.6,5.2,0.64
30,C67,96,Bladder,1,9,3,30,9,4.0,3.9,0.50
31,C70-72,96," Brain, central nervous system",1,4,0,32,4,1.3,1.7,0.13
32,C73,96,Thyroid,1,6,1,33,6,2.3,2.6,0.33
33,C81,96,Hodgkin lymphoma,1,4,0,32,4,1.6,1.7,0.11
34,C82-86+C88,96,Non-Hodgkin lymphoma,1,24,11,50,24,10.1,10.4,1.2
35,C90,96,Multiple myeloma,1,3,0,24,3,1.4,1.3,0.26
36,C91-95,96,Leukaemia,1,14,5,37,14,6.1,6.1,0.62
