Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,100,All cancers,2,15297,14996,15604,15297,203.2,434.3,20.5
1,C00-06,100,"Lip, oral cavity",2,123,95,159,123,1.5,3.5,0.17
2,C07-08,100,Salivary glands,2,28,18,43,28,0.29,0.80,0.03
3,C09-10,100,Oropharynx,2,23,14,36,23,0.33,0.65,0.04
4,C11,100,Nasopharynx,2,29,18,45,29,0.54,0.82,0.05
5,C12-13,100,Hypopharynx,2,9,5,17,9,0.14,0.26,0.02
6,C15,100,Oesophagus,2,42,30,59,42,0.55,1.2,0.06
7,C16,100,Stomach,2,579,504,665,579,6.3,16.4,0.72
41,C18-C21,100,Colorectum,2,2130,-,-,2130,22.6,60.5,2.8
11,C22,100,Liver and intrahepatic bile ducts,2,277,239,321,277,2.8,7.9,0.31
12,C23,100,Gallbladder,2,52,32,86,52,0.47,1.5,0.06
13,C25,100,Pancreas,2,596,504,705,596,5.9,16.9,0.69
14,C32,100,Larynx,2,42,30,59,42,0.61,1.2,0.07
15,C33-34,100,"Trachea, bronchus and lung",2,1050,936,1178,1050,13.3,29.8,1.6
16,C43,100,Melanoma of skin,2,219,179,268,219,3.1,6.2,0.33
17,C44,100,Non-melanoma skin cancer,2,624,554,703,624,5.3,17.7,0.51
18,C45,100,Mesothelioma,2,21,13,34,21,0.29,0.60,0.04
19,C46,100,Kaposi sarcoma,2,2,1,6,2,0.01,0.06,0.00
20,C50,100,Breast,2,3558,3302,3833,3558,52.8,101.0,5.7
21,C51,100,Vulva,2,111,84,147,111,1.1,3.2,0.13
22,C52,100,Vagina,2,35,24,50,35,0.41,0.99,0.05
23,C53,100,Cervix uteri,2,877,770,1000,877,15.4,24.9,1.6
24,C54,100,Corpus uteri,2,1186,1065,1321,1186,16.0,33.7,1.9
25,C56,100,Ovary,2,676,626,730,676,10.0,19.2,1.1
29,C64,100,Kidney,2,281,236,335,281,3.9,8.0,0.46
30,C67,100,Bladder,2,450,378,536,450,5.0,12.8,0.60
31,C70-72,100," Brain, central nervous system",2,370,322,425,370,5.8,10.5,0.60
32,C73,100,Thyroid,2,334,285,391,334,7.3,9.5,0.68
33,C81,100,Hodgkin lymphoma,2,49,36,66,49,1.3,1.4,0.11
34,C82-86+C88,100,Non-Hodgkin lymphoma,2,221,173,283,221,3.1,6.3,0.34
35,C90,100,Multiple myeloma,2,105,78,142,105,1.3,3.0,0.16
36,C91-95,100,Leukaemia,2,292,246,347,292,4.6,8.3,0.43
