Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,100,All cancers,1,17515,17194,17842,17515,253.9,527.1,26.6
1,C00-06,100,"Lip, oral cavity",1,288,238,349,288,4.6,8.7,0.55
2,C07-08,100,Salivary glands,1,43,31,59,43,0.63,1.3,0.07
3,C09-10,100,Oropharynx,1,92,65,131,92,1.5,2.8,0.19
4,C11,100,Nasopharynx,1,67,49,91,67,1.2,2.0,0.13
5,C12-13,100,Hypopharynx,1,81,56,118,81,1.3,2.4,0.16
6,C15,100,Oesophagus,1,184,150,226,184,2.8,5.5,0.35
7,C16,100,Stomach,1,890,805,984,890,12.5,26.8,1.5
41,C18-C21,100,Colorectum,1,2956,-,-,2956,40.2,89.0,5.0
11,C22,100,Liver and intrahepatic bile ducts,1,436,386,492,436,6.3,13.1,0.76
12,C23,100,Gallbladder,1,25,18,35,25,0.33,0.75,0.04
13,C25,100,Pancreas,1,684,594,787,684,9.5,20.6,1.2
14,C32,100,Larynx,1,390,330,462,390,6.0,11.7,0.79
15,C33-34,100,"Trachea, bronchus and lung",1,2916,2738,3106,2916,43.8,87.8,5.7
16,C43,100,Melanoma of skin,1,246,193,313,246,3.8,7.4,0.43
17,C44,100,Non-melanoma skin cancer,1,703,628,787,703,8.4,21.2,0.79
18,C45,100,Mesothelioma,1,37,26,52,37,0.61,1.1,0.08
19,C46,100,Kaposi sarcoma,1,9,4,19,9,0.11,0.27,0.01
26,C60,100,Penis,1,65,48,88,65,0.90,2.0,0.11
27,C61,100,Prostate,1,3122,2932,3324,3122,38.2,94.0,4.8
28,C62,100,Testis,1,153,118,198,153,4.5,4.6,0.35
29,C64,100,Kidney,1,509,431,601,509,8.3,15.3,0.98
30,C67,100,Bladder,1,1280,1165,1406,1280,17.9,38.5,2.2
31,C70-72,100," Brain, central nervous system",1,434,369,510,434,8.0,13.1,0.86
32,C73,100,Thyroid,1,78,60,102,78,1.6,2.4,0.16
33,C81,100,Hodgkin lymphoma,1,47,35,63,47,1.4,1.4,0.11
34,C82-86+C88,100,Non-Hodgkin lymphoma,1,271,234,313,271,4.9,8.2,0.51
35,C90,100,Multiple myeloma,1,103,85,125,103,1.6,3.1,0.19
36,C91-95,100,Leukaemia,1,347,301,400,347,6.7,10.4,0.64
