Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,116,All cancers,1,9171,8917,9432,9171,152.9,109.4,15.5
1,C00-06,116,"Lip, oral cavity",1,253,232,276,253,4.3,3.0,0.49
2,C07-08,116,Salivary glands,1,58,38,89,58,0.81,0.69,0.08
3,C09-10,116,Oropharynx,1,92,77,110,92,1.4,1.1,0.16
4,C11,116,Nasopharynx,1,226,212,240,226,3.4,2.7,0.39
5,C12-13,116,Hypopharynx,1,79,70,89,79,1.4,0.94,0.18
6,C15,116,Oesophagus,1,281,269,293,281,5.3,3.4,0.53
7,C16,116,Stomach,1,311,294,329,311,5.4,3.7,0.56
41,C18-C21,116,Colorectum,1,812,-,-,812,14.2,9.7,1.5
11,C22,116,Liver and intrahepatic bile ducts,1,2394,2335,2454,2394,39.4,28.6,4.4
12,C23,116,Gallbladder,1,64,31,130,64,1.2,0.76,0.13
13,C25,116,Pancreas,1,105,92,120,105,1.8,1.3,0.19
14,C32,116,Larynx,1,152,144,161,152,2.7,1.8,0.36
15,C33-34,116,"Trachea, bronchus and lung",1,1374,1351,1397,1374,23.9,16.4,2.7
16,C43,116,Melanoma of skin,1,33,13,84,33,0.59,0.39,0.06
17,C44,116,Non-melanoma skin cancer,1,152,120,193,152,2.6,1.8,0.24
18,C45,116,Mesothelioma,1,1,1,2,1,0.01,0.01,0.00
19,C46,116,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,116,Penis,1,97,70,134,97,1.5,1.2,0.17
27,C61,116,Prostate,1,249,245,253,249,5.2,3.0,0.54
28,C62,116,Testis,1,75,39,143,75,0.89,0.89,0.06
29,C64,116,Kidney,1,148,132,166,148,2.0,1.8,0.16
30,C67,116,Bladder,1,199,183,217,199,3.7,2.4,0.43
31,C70-72,116," Brain, central nervous system",1,241,217,268,241,3.5,2.9,0.35
32,C73,116,Thyroid,1,119,101,140,119,1.9,1.4,0.16
33,C81,116,Hodgkin lymphoma,1,45,24,86,45,0.58,0.54,0.05
34,C82-86+C88,116,Non-Hodgkin lymphoma,1,330,299,365,330,5.2,3.9,0.51
35,C90,116,Multiple myeloma,1,54,40,73,54,1.1,0.64,0.13
36,C91-95,116,Leukaemia,1,356,335,378,356,5.2,4.3,0.50
