Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,152,All cancers,1,32800,32317,33291,32800,221.7,345.4,22.2
1,C00-06,152,"Lip, oral cavity",1,221,62,786,221,1.6,2.3,0.18
2,C07-08,152,Salivary glands,1,79,8,741,79,0.56,0.83,0.06
3,C09-10,152,Oropharynx,1,82,23,291,82,0.57,0.86,0.08
4,C11,152,Nasopharynx,1,13,1,122,13,0.09,0.14,0.01
5,C12-13,152,Hypopharynx,1,45,5,397,45,0.29,0.47,0.04
6,C15,152,Oesophagus,1,541,417,701,541,3.3,5.7,0.35
7,C16,152,Stomach,1,3350,2963,3787,3350,21.8,35.3,2.5
41,C18-C21,152,Colorectum,1,3351,-,-,3351,22.6,35.3,2.6
11,C22,152,Liver and intrahepatic bile ducts,1,893,748,1066,893,5.9,9.4,0.70
12,C23,152,Gallbladder,1,606,421,873,606,3.9,6.4,0.44
13,C25,152,Pancreas,1,872,724,1050,872,5.8,9.2,0.67
14,C32,152,Larynx,1,215,115,401,215,1.4,2.3,0.16
15,C33-34,152,"Trachea, bronchus and lung",1,2619,2334,2939,2619,17.0,27.6,2.1
16,C43,152,Melanoma of skin,1,559,102,3051,559,4.1,5.9,0.46
17,C44,152,Non-melanoma skin cancer,1,1774,121,26098,1774,10.7,18.7,1.0
18,C45,152,Mesothelioma,1,54,24,121,54,0.36,0.57,0.04
19,C46,152,Kaposi sarcoma,1,34,5,230,34,0.26,0.36,0.03
26,C60,152,Penis,1,98,17,557,98,0.67,1.0,0.08
27,C61,152,Prostate,1,9678,6773,13829,9678,62.3,101.9,7.3
28,C62,152,Testis,1,822,56,12093,822,7.5,8.7,0.58
29,C64,152,Kidney,1,1490,927,2396,1490,10.8,15.7,1.3
30,C67,152,Bladder,1,1115,692,1796,1115,7.2,11.7,0.80
31,C70-72,152," Brain, central nervous system",1,379,268,536,379,3.4,4.0,0.31
32,C73,152,Thyroid,1,184,18,1934,184,1.5,1.9,0.15
33,C81,152,Hodgkin lymphoma,1,165,12,2295,165,1.5,1.7,0.13
34,C82-86+C88,152,Non-Hodgkin lymphoma,1,919,572,1475,919,6.8,9.7,0.74
35,C90,152,Multiple myeloma,1,501,334,752,501,3.4,5.3,0.42
36,C91-95,152,Leukaemia,1,735,486,1112,735,6.4,7.7,0.54
