Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,160,All cancers,1,2533906,2530788,2537028,2533906,209.6,351.4,21.8
1,C00-06,160,"Lip, oral cavity",1,24169,22309,26185,24169,2.0,3.4,0.24
2,C07-08,160,Salivary glands,1,6008,5189,6956,6008,0.54,0.83,0.06
3,C09-10,160,Oropharynx,1,6470,5361,7809,6470,0.55,0.90,0.07
4,C11,160,Nasopharynx,1,36656,35503,37847,36656,3.4,5.1,0.37
5,C12-13,160,Hypopharynx,1,8986,7580,10653,8986,0.75,1.3,0.10
6,C15,160,Oesophagus,1,167472,165151,169825,167472,13.1,23.2,1.7
7,C16,160,Stomach,1,246550,243820,249310,246550,19.5,34.2,2.4
41,C18-C21,160,Colorectum,1,307688,-,-,307688,24.7,42.7,2.9
11,C22,160,Liver and intrahepatic bile ducts,1,267898,264242,271605,267898,22.7,37.2,2.6
12,C23,160,Gallbladder,1,12663,11587,13838,12663,0.97,1.8,0.11
13,C25,160,Pancreas,1,67123,60669,74264,67123,5.3,9.3,0.63
14,C32,160,Larynx,1,27169,25707,28714,27169,2.2,3.8,0.28
15,C33-34,160,"Trachea, bronchus and lung",1,658722,649603,667969,658722,52.0,91.4,6.3
16,C43,160,Melanoma of skin,1,4402,3822,5070,4402,0.37,0.61,0.04
17,C44,160,Non-melanoma skin cancer,1,23628,20370,27407,23628,1.9,3.3,0.20
18,C45,160,Mesothelioma,1,1288,1121,1480,1288,0.11,0.18,0.01
19,C46,160,Kaposi sarcoma,1,366,66,2017,366,0.03,0.05,0.00
26,C60,160,Penis,1,5973,5096,7001,5973,0.49,0.83,0.06
27,C61,160,Prostate,1,134156,126425,142360,134156,9.7,18.6,1.1
28,C62,160,Testis,1,3486,3170,3833,3486,0.41,0.48,0.03
29,C64,160,Kidney,1,47306,45549,49131,47306,4.1,6.6,0.48
30,C67,160,Bladder,1,73218,70703,75822,73218,5.7,10.2,0.64
31,C70-72,160," Brain, central nervous system",1,42398,40611,44264,42398,4.1,5.9,0.42
32,C73,160,Thyroid,1,124907,17594,886756,124907,13.3,17.3,1.2
33,C81,160,Hodgkin lymphoma,1,2664,2063,3441,2664,0.28,0.37,0.03
34,C82-86+C88,160,Non-Hodgkin lymphoma,1,45478,41991,49254,45478,4.1,6.3,0.45
35,C90,160,Multiple myeloma,1,16803,15144,18644,16803,1.4,2.3,0.17
36,C91-95,160,Leukaemia,1,46976,45273,48743,46976,5.1,6.5,0.47
