Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,170,All cancers,1,56224,55590,56865,56224,183.3,222.4,18.9
1,C00-06,170,"Lip, oral cavity",1,396,207,756,396,1.3,1.6,0.15
2,C07-08,170,Salivary glands,1,270,53,1382,270,0.88,1.1,0.10
3,C09-10,170,Oropharynx,1,420,164,1075,420,1.4,1.7,0.15
4,C11,170,Nasopharynx,1,116,41,325,116,0.40,0.46,0.04
5,C12-13,170,Hypopharynx,1,91,8,1060,91,0.28,0.36,0.03
6,C15,170,Oesophagus,1,692,586,817,692,2.2,2.7,0.24
7,C16,170,Stomach,1,5437,5006,5906,5437,17.5,21.5,2.0
41,C18-C21,170,Colorectum,1,5455,-,-,5455,17.8,21.6,2.1
11,C22,170,Liver and intrahepatic bile ducts,1,1258,1121,1412,1258,4.0,5.0,0.46
12,C23,170,Gallbladder,1,188,111,319,188,0.60,0.74,0.07
13,C25,170,Pancreas,1,1345,1181,1532,1345,4.3,5.3,0.50
14,C32,170,Larynx,1,803,575,1121,803,2.6,3.2,0.32
15,C33-34,170,"Trachea, bronchus and lung",1,4178,3855,4529,4178,13.1,16.5,1.6
16,C43,170,Melanoma of skin,1,865,336,2224,865,2.8,3.4,0.31
17,C44,170,Non-melanoma skin cancer,1,1762,817,3799,1762,5.3,7.0,0.49
18,C45,170,Mesothelioma,1,90,56,144,90,0.29,0.36,0.04
19,C46,170,Kaposi sarcoma,1,417,28,6135,417,1.3,1.7,0.13
26,C60,170,Penis,1,513,170,1552,513,1.6,2.0,0.16
27,C61,170,Prostate,1,16479,13530,20070,16479,52.6,65.2,6.4
28,C62,170,Testis,1,1266,154,10398,1266,4.5,5.0,0.35
29,C64,170,Kidney,1,1254,667,2357,1254,4.3,5.0,0.49
30,C67,170,Bladder,1,1556,1015,2386,1556,4.8,6.2,0.54
31,C70-72,170," Brain, central nervous system",1,1146,946,1389,1146,4.1,4.5,0.39
32,C73,170,Thyroid,1,856,115,6370,856,3.0,3.4,0.32
33,C81,170,Hodgkin lymphoma,1,370,114,1199,370,1.3,1.5,0.12
34,C82-86+C88,170,Non-Hodgkin lymphoma,1,2229,1701,2921,2229,7.6,8.8,0.83
35,C90,170,Multiple myeloma,1,806,647,1004,806,2.7,3.2,0.33
36,C91-95,170,Leukaemia,1,1823,1547,2148,1823,6.9,7.2,0.58
