Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,188,All cancers,2,6517,6351,6688,6517,173.5,251.2,17.1
1,C00-06,188,"Lip, oral cavity",2,42,24,73,42,1.0,1.6,0.12
2,C07-08,188,Salivary glands,2,19,8,44,19,0.50,0.73,0.05
3,C09-10,188,Oropharynx,2,9,3,30,9,0.21,0.35,0.03
4,C11,188,Nasopharynx,2,2,0,16,2,0.04,0.08,0.01
5,C12-13,188,Hypopharynx,2,13,2,105,13,0.20,0.50,0.00
6,C15,188,Oesophagus,2,17,7,41,17,0.34,0.66,0.04
7,C16,188,Stomach,2,378,315,454,378,9.1,14.6,1.0
41,C18-C21,188,Colorectum,2,626,-,-,626,15.4,24.1,1.8
11,C22,188,Liver and intrahepatic bile ducts,2,184,140,242,184,4.0,7.1,0.42
12,C23,188,Gallbladder,2,43,25,75,43,0.97,1.7,0.11
13,C25,188,Pancreas,2,181,138,238,181,3.9,7.0,0.40
14,C32,188,Larynx,2,9,5,17,9,0.22,0.35,0.02
15,C33-34,188,"Trachea, bronchus and lung",2,167,127,220,167,4.1,6.4,0.50
16,C43,188,Melanoma of skin,2,57,39,83,57,1.5,2.2,0.16
17,C44,188,Non-melanoma skin cancer,2,654,572,747,654,14.3,25.2,1.5
18,C45,188,Mesothelioma,2,1,0,8,1,0.03,0.04,0.01
19,C46,188,Kaposi sarcoma,2,2,0,16,2,0.03,0.08,0.00
20,C50,188,Breast,2,1344,1215,1487,1344,37.5,51.8,4.2
21,C51,188,Vulva,2,30,16,55,30,0.67,1.2,0.08
22,C52,188,Vagina,2,10,3,31,10,0.24,0.39,0.03
23,C53,188,Cervix uteri,2,341,314,370,341,10.6,13.1,0.97
24,C54,188,Corpus uteri,2,385,273,544,385,10.7,14.8,1.3
25,C56,188,Ovary,2,150,121,185,150,4.3,5.8,0.46
29,C64,188,Kidney,2,74,49,111,74,2.1,2.9,0.24
30,C67,188,Bladder,2,72,44,117,72,1.5,2.8,0.16
31,C70-72,188," Brain, central nervous system",2,92,63,135,92,3.0,3.6,0.29
32,C73,188,Thyroid,2,752,603,938,752,23.5,29.0,2.3
33,C81,188,Hodgkin lymphoma,2,53,32,88,53,1.6,2.0,0.16
34,C82-86+C88,188,Non-Hodgkin lymphoma,2,161,122,213,161,4.0,6.2,0.47
35,C90,188,Multiple myeloma,2,59,37,94,59,1.4,2.3,0.18
36,C91-95,188,Leukaemia,2,169,128,223,169,5.5,6.5,0.47
