Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,188,All cancers,1,6808,6638,6982,6808,185.5,263.1,18.6
1,C00-06,188,"Lip, oral cavity",1,65,41,103,65,1.8,2.5,0.21
2,C07-08,188,Salivary glands,1,20,10,40,20,0.53,0.77,0.05
3,C09-10,188,Oropharynx,1,27,13,54,27,0.77,1.0,0.09
4,C11,188,Nasopharynx,1,13,9,19,13,0.46,0.50,0.05
5,C12-13,188,Hypopharynx,1,9,5,15,9,0.24,0.35,0.03
6,C15,188,Oesophagus,1,54,33,88,54,1.4,2.1,0.15
7,C16,188,Stomach,1,759,668,862,759,19.6,29.3,2.2
41,C18-C21,188,Colorectum,1,495,-,-,495,13.2,19.1,1.5
11,C22,188,Liver and intrahepatic bile ducts,1,241,191,304,241,6.3,9.3,0.70
12,C23,188,Gallbladder,1,16,6,39,16,0.42,0.62,0.05
13,C25,188,Pancreas,1,168,128,220,168,4.5,6.5,0.52
14,C32,188,Larynx,1,73,38,139,73,2.0,2.8,0.24
15,C33-34,188,"Trachea, bronchus and lung",1,360,298,435,360,9.7,13.9,1.2
16,C43,188,Melanoma of skin,1,77,51,117,77,2.1,3.0,0.23
17,C44,188,Non-melanoma skin cancer,1,854,756,964,854,22.9,33.0,2.5
18,C45,188,Mesothelioma,1,3,0,24,3,0.08,0.12,0.01
19,C46,188,Kaposi sarcoma,1,16,6,39,16,0.46,0.62,0.04
26,C60,188,Penis,1,41,24,71,41,1.1,1.6,0.13
27,C61,188,Prostate,1,1796,1649,1956,1796,45.6,69.4,5.1
28,C62,188,Testis,1,114,70,186,114,4.0,4.4,0.29
29,C64,188,Kidney,1,119,85,166,119,3.6,4.6,0.42
30,C67,188,Bladder,1,208,163,265,208,5.4,8.0,0.61
31,C70-72,188," Brain, central nervous system",1,133,99,179,133,4.5,5.1,0.44
32,C73,188,Thyroid,1,125,90,173,125,3.9,4.8,0.41
33,C81,188,Hodgkin lymphoma,1,53,33,85,53,1.9,2.1,0.16
34,C82-86+C88,188,Non-Hodgkin lymphoma,1,250,199,313,250,7.5,9.7,0.81
35,C90,188,Multiple myeloma,1,66,42,103,66,1.8,2.6,0.23
36,C91-95,188,Leukaemia,1,203,158,260,203,6.9,7.8,0.60
