Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,384,All cancers,1,9795,9567,10029,9795,130.0,70.1,14.4
1,C00-06,384,"Lip, oral cavity",1,100,65,153,100,1.1,0.72,0.11
2,C07-08,384,Salivary glands,1,55,32,95,55,0.53,0.39,0.06
3,C09-10,384,Oropharynx,1,24,11,55,24,0.28,0.17,0.03
4,C11,384,Nasopharynx,1,54,32,92,54,0.52,0.39,0.06
5,C12-13,384,Hypopharynx,1,10,3,36,10,0.11,0.07,0.01
6,C15,384,Oesophagus,1,53,30,92,53,0.72,0.38,0.08
7,C16,384,Stomach,1,331,264,414,331,4.5,2.4,0.57
41,C18-C21,384,Colorectum,1,571,-,-,571,7.6,4.1,0.85
11,C22,384,Liver and intrahepatic bile ducts,1,883,765,1019,883,10.3,6.3,1.1
12,C23,384,Gallbladder,1,19,8,48,19,0.30,0.14,0.03
13,C25,384,Pancreas,1,161,118,220,161,2.3,1.2,0.27
14,C32,384,Larynx,1,130,90,187,130,1.9,0.93,0.22
15,C33-34,384,"Trachea, bronchus and lung",1,243,188,314,243,3.5,1.7,0.36
16,C43,384,Melanoma of skin,1,18,7,47,18,0.25,0.13,0.03
17,C44,384,Non-melanoma skin cancer,1,122,85,176,122,1.4,0.87,0.17
18,C45,384,Mesothelioma,1,18,7,47,18,0.29,0.13,0.07
19,C46,384,Kaposi sarcoma,1,114,78,166,114,1.3,0.82,0.13
26,C60,384,Penis,1,4,1,30,4,0.05,0.03,0.01
27,C61,384,Prostate,1,4041,3790,4309,4041,63.8,28.9,8.0
28,C62,384,Testis,1,11,3,37,11,0.10,0.08,0.01
29,C64,384,Kidney,1,126,87,182,126,1.2,0.90,0.11
30,C67,384,Bladder,1,73,46,116,73,0.98,0.52,0.14
31,C70-72,384," Brain, central nervous system",1,92,62,137,92,0.98,0.66,0.08
32,C73,384,Thyroid,1,27,12,59,27,0.30,0.19,0.04
33,C81,384,Hodgkin lymphoma,1,79,51,122,79,0.66,0.57,0.06
34,C82-86+C88,384,Non-Hodgkin lymphoma,1,520,436,620,520,5.1,3.7,0.49
35,C90,384,Multiple myeloma,1,92,61,139,92,1.1,0.66,0.14
36,C91-95,384,Leukaemia,1,217,164,287,217,2.4,1.6,0.23
