Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,191,All cancers,2,13202,12893,13519,13202,277.0,628.7,26.6
1,C00-06,191,"Lip, oral cavity",2,81,56,117,81,1.4,3.9,0.17
2,C07-08,191,Salivary glands,2,28,19,42,28,0.57,1.3,0.05
3,C09-10,191,Oropharynx,2,19,12,31,19,0.43,0.90,0.05
4,C11,191,Nasopharynx,2,5,2,10,5,0.08,0.24,0.01
5,C12-13,191,Hypopharynx,2,13,7,24,13,0.30,0.62,0.04
6,C15,191,Oesophagus,2,33,23,47,33,0.57,1.6,0.07
7,C16,191,Stomach,2,410,354,475,410,6.4,19.5,0.74
41,C18-C21,191,Colorectum,2,1692,-,-,1692,29.4,80.6,3.5
11,C22,191,Liver and intrahepatic bile ducts,2,179,144,223,179,2.8,8.5,0.32
12,C23,191,Gallbladder,2,118,91,152,118,1.6,5.6,0.19
13,C25,191,Pancreas,2,407,316,523,407,6.2,19.4,0.75
14,C32,191,Larynx,2,21,14,32,21,0.45,1.0,0.06
15,C33-34,191,"Trachea, bronchus and lung",2,1157,1017,1317,1157,21.6,55.1,2.8
16,C43,191,Melanoma of skin,2,407,307,540,407,9.4,19.4,1.0
17,C44,191,Non-melanoma skin cancer,2,647,509,823,647,5.6,30.8,0.26
18,C45,191,Mesothelioma,2,13,7,23,13,0.23,0.62,0.03
19,C46,191,Kaposi sarcoma,2,2,0,10,2,0.02,0.10,0.00
20,C50,191,Breast,2,3108,2912,3317,3108,74.6,148.0,8.1
21,C51,191,Vulva,2,103,74,144,103,1.6,4.9,0.19
22,C52,191,Vagina,2,20,12,34,20,0.36,0.95,0.04
23,C53,191,Cervix uteri,2,272,222,334,272,8.3,13.0,0.82
24,C54,191,Corpus uteri,2,825,714,953,825,17.9,39.3,2.2
25,C56,191,Ovary,2,476,429,529,476,10.7,22.7,1.2
29,C64,191,Kidney,2,327,276,387,327,7.0,15.6,0.79
30,C67,191,Bladder,2,353,296,421,353,6.4,16.8,0.76
31,C70-72,191," Brain, central nervous system",2,207,176,243,207,5.2,9.9,0.52
32,C73,191,Thyroid,2,623,531,731,623,22.4,29.7,2.1
33,C81,191,Hodgkin lymphoma,2,51,38,68,51,2.6,2.4,0.20
34,C82-86+C88,191,Non-Hodgkin lymphoma,2,407,343,483,407,8.6,19.4,0.98
35,C90,191,Multiple myeloma,2,175,132,232,175,3.0,8.3,0.37
36,C91-95,191,Leukaemia,2,316,266,376,316,7.5,15.1,0.68
