Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,191,All cancers,1,15607,15274,15947,15607,367.3,796.5,35.5
1,C00-06,191,"Lip, oral cavity",1,212,157,286,212,5.5,10.8,0.68
2,C07-08,191,Salivary glands,1,30,20,44,30,0.69,1.5,0.07
3,C09-10,191,Oropharynx,1,140,109,179,140,3.9,7.1,0.50
4,C11,191,Nasopharynx,1,16,9,27,16,0.50,0.82,0.06
5,C12-13,191,Hypopharynx,1,103,70,151,103,2.7,5.3,0.35
6,C15,191,Oesophagus,1,172,135,220,172,4.3,8.8,0.54
7,C16,191,Stomach,1,575,513,644,575,13.0,29.3,1.6
41,C18-C21,191,Colorectum,1,2498,-,-,2498,55.9,127.5,6.6
11,C22,191,Liver and intrahepatic bile ducts,1,372,318,435,372,8.3,19.0,1.1
12,C23,191,Gallbladder,1,67,50,89,67,1.3,3.4,0.16
13,C25,191,Pancreas,1,394,314,494,394,8.7,20.1,1.1
14,C32,191,Larynx,1,246,193,314,246,6.2,12.6,0.81
15,C33-34,191,"Trachea, bronchus and lung",1,2492,2286,2717,2492,56.4,127.2,7.1
16,C43,191,Melanoma of skin,1,559,450,695,559,14.8,28.5,1.7
17,C44,191,Non-melanoma skin cancer,1,650,525,805,650,10.5,33.2,0.41
18,C45,191,Mesothelioma,1,90,71,114,90,1.9,4.6,0.26
19,C46,191,Kaposi sarcoma,1,8,3,19,8,0.16,0.41,0.02
26,C60,191,Penis,1,35,24,50,35,0.87,1.8,0.10
27,C61,191,Prostate,1,3247,2718,3880,3247,69.5,165.7,8.9
28,C62,191,Testis,1,221,177,276,221,11.3,11.3,0.85
29,C64,191,Kidney,1,544,466,635,544,14.1,27.8,1.7
30,C67,191,Bladder,1,860,768,963,860,18.7,43.9,2.2
31,C70-72,191," Brain, central nervous system",1,249,213,291,249,7.8,12.7,0.79
32,C73,191,Thyroid,1,155,99,242,155,5.6,7.9,0.56
33,C81,191,Hodgkin lymphoma,1,40,30,54,40,1.9,2.0,0.15
34,C82-86+C88,191,Non-Hodgkin lymphoma,1,439,362,533,439,12.0,22.4,1.3
35,C90,191,Multiple myeloma,1,225,178,284,225,5.1,11.5,0.62
36,C91-95,191,Leukaemia,1,374,320,437,374,10.5,19.1,0.99
