Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,196,All cancers,2,3128,2958,3308,3128,300.1,511.4,27.2
1,C00-06,196,"Lip, oral cavity",2,13,7,24,13,1.1,2.1,0.10
2,C07-08,196,Salivary glands,2,5,2,15,5,0.48,0.82,0.06
3,C09-10,196,Oropharynx,2,2,0,8,2,0.27,0.33,0.02
4,C11,196,Nasopharynx,2,1,0,10,1,0.13,0.16,0.01
5,C12-13,196,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,196,Oesophagus,2,3,1,13,3,0.25,0.49,0.03
7,C16,196,Stomach,2,51,35,75,51,4.1,8.3,0.46
41,C18-C21,196,Colorectum,2,245,-,-,245,19.5,40.1,2.1
11,C22,196,Liver and intrahepatic bile ducts,2,49,30,81,49,3.7,8.0,0.37
12,C23,196,Gallbladder,2,9,4,23,9,0.63,1.5,0.07
13,C25,196,Pancreas,2,107,77,149,107,7.1,17.5,0.70
14,C32,196,Larynx,2,3,1,13,3,0.32,0.49,0.05
15,C33-34,196,"Trachea, bronchus and lung",2,169,110,261,169,14.6,27.6,1.8
16,C43,196,Melanoma of skin,2,52,36,76,52,5.1,8.5,0.56
17,C44,196,Non-melanoma skin cancer,2,133,44,405,133,7.2,21.7,0.41
18,C45,196,Mesothelioma,2,4,1,12,4,0.28,0.65,0.03
19,C46,196,Kaposi sarcoma,2,1,0,10,1,0.05,0.16,0.00
20,C50,196,Breast,2,1020,911,1142,1020,104.8,166.7,10.9
21,C51,196,Vulva,2,13,6,26,13,0.96,2.1,0.09
22,C52,196,Vagina,2,0,0,0,0,0.00,0.00,0.00
23,C53,196,Cervix uteri,2,62,44,88,62,7.0,10.1,0.67
24,C54,196,Corpus uteri,2,187,146,240,187,17.7,30.6,2.2
25,C56,196,Ovary,2,119,90,158,119,10.6,19.5,1.2
29,C64,196,Kidney,2,34,22,52,34,3.0,5.6,0.37
30,C67,196,Bladder,2,56,39,80,56,4.3,9.2,0.44
31,C70-72,196," Brain, central nervous system",2,71,48,106,71,6.2,11.6,0.56
32,C73,196,Thyroid,2,401,282,570,401,51.6,65.6,4.8
33,C81,196,Hodgkin lymphoma,2,15,9,26,15,2.2,2.5,0.18
34,C82-86+C88,196,Non-Hodgkin lymphoma,2,101,56,181,101,9.7,16.5,1.1
35,C90,196,Multiple myeloma,2,42,27,66,42,3.5,6.9,0.39
36,C91-95,196,Leukaemia,2,101,71,143,101,8.8,16.5,0.76
