Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,196,All cancers,1,3070,2899,3251,3070,289.9,501.9,27.9
1,C00-06,196,"Lip, oral cavity",1,28,18,45,28,3.0,4.6,0.37
2,C07-08,196,Salivary glands,1,7,3,19,7,0.63,1.1,0.07
3,C09-10,196,Oropharynx,1,6,2,17,6,0.70,0.98,0.09
4,C11,196,Nasopharynx,1,4,1,13,4,0.51,0.65,0.05
5,C12-13,196,Hypopharynx,1,2,0,20,2,0.23,0.33,0.03
6,C15,196,Oesophagus,1,14,6,31,14,1.3,2.3,0.15
7,C16,196,Stomach,1,96,70,131,96,8.4,15.7,0.82
41,C18-C21,196,Colorectum,1,323,-,-,323,29.4,52.8,3.4
11,C22,196,Liver and intrahepatic bile ducts,1,81,56,117,81,7.7,13.2,0.97
12,C23,196,Gallbladder,1,4,1,13,4,0.35,0.65,0.03
13,C25,196,Pancreas,1,108,80,146,108,10.0,17.7,1.2
14,C32,196,Larynx,1,41,28,61,41,4.1,6.7,0.57
15,C33-34,196,"Trachea, bronchus and lung",1,456,392,530,456,41.4,74.6,4.9
16,C43,196,Melanoma of skin,1,60,42,87,60,5.9,9.8,0.61
17,C44,196,Non-melanoma skin cancer,1,144,48,432,144,10.6,23.5,0.64
18,C45,196,Mesothelioma,1,10,5,20,10,0.83,1.6,0.11
19,C46,196,Kaposi sarcoma,1,4,1,16,4,0.43,0.65,0.04
26,C60,196,Penis,1,10,4,22,10,0.90,1.6,0.10
27,C61,196,Prostate,1,691,590,809,691,60.9,113.0,7.5
28,C62,196,Testis,1,48,32,71,48,6.6,7.9,0.49
29,C64,196,Kidney,1,67,49,92,67,6.6,11.0,0.83
30,C67,196,Bladder,1,263,211,328,263,23.7,43.0,2.8
31,C70-72,196," Brain, central nervous system",1,64,44,94,64,7.5,10.5,0.77
32,C73,196,Thyroid,1,97,73,128,97,12.0,15.9,1.2
33,C81,196,Hodgkin lymphoma,1,22,13,38,22,3.0,3.6,0.28
34,C82-86+C88,196,Non-Hodgkin lymphoma,1,117,84,164,117,13.0,19.1,1.4
35,C90,196,Multiple myeloma,1,57,37,87,57,4.9,9.3,0.44
36,C91-95,196,Leukaemia,1,128,97,169,128,12.9,20.9,1.2
