Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,208,All cancers,2,23014,22615,23420,23014,361.2,784.1,33.4
1,C00-06,208,"Lip, oral cavity",2,155,114,211,155,2.4,5.3,0.29
2,C07-08,208,Salivary glands,2,35,24,51,35,0.67,1.2,0.07
3,C09-10,208,Oropharynx,2,125,90,173,125,2.2,4.3,0.29
4,C11,208,Nasopharynx,2,6,2,14,6,0.12,0.20,0.01
5,C12-13,208,Hypopharynx,2,20,12,33,20,0.33,0.68,0.05
6,C15,208,Oesophagus,2,162,112,235,162,2.2,5.5,0.28
7,C16,208,Stomach,2,254,198,326,254,3.5,8.7,0.41
41,C18-C21,208,Colorectum,2,3087,-,-,3087,41.9,105.2,4.9
11,C22,208,Liver and intrahepatic bile ducts,2,239,198,288,239,2.8,8.1,0.28
12,C23,208,Gallbladder,2,55,39,77,55,0.69,1.9,0.08
13,C25,208,Pancreas,2,710,641,787,710,7.9,24.2,0.83
14,C32,208,Larynx,2,46,34,63,46,0.75,1.6,0.10
15,C33-34,208,"Trachea, bronchus and lung",2,2565,2350,2800,2565,34.4,87.4,4.4
16,C43,208,Melanoma of skin,2,1681,1528,1849,1681,35.6,57.3,3.5
17,C44,208,Non-melanoma skin cancer,2,2088,1882,2317,2088,20.4,71.1,1.9
18,C45,208,Mesothelioma,2,34,23,51,34,0.46,1.2,0.05
19,C46,208,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,208,Breast,2,5259,4983,5550,5259,95.4,179.2,10.3
21,C51,208,Vulva,2,197,155,250,197,2.8,6.7,0.30
22,C52,208,Vagina,2,22,14,35,22,0.30,0.75,0.04
23,C53,208,Cervix uteri,2,373,318,438,373,9.7,12.7,0.89
24,C54,208,Corpus uteri,2,911,810,1025,911,14.3,31.0,1.8
25,C56,208,Ovary,2,441,384,507,441,7.2,15.0,0.84
29,C64,208,Kidney,2,437,361,529,437,7.3,14.9,0.85
30,C67,208,Bladder,2,666,570,778,666,8.6,22.7,1.1
31,C70-72,208," Brain, central nervous system",2,288,247,336,288,4.8,9.8,0.47
32,C73,208,Thyroid,2,460,385,550,460,11.1,15.7,1.1
33,C81,208,Hodgkin lymphoma,2,72,55,94,72,2.3,2.5,0.18
34,C82-86+C88,208,Non-Hodgkin lymphoma,2,773,683,875,773,11.5,26.3,1.3
35,C90,208,Multiple myeloma,2,277,203,379,277,3.8,9.4,0.46
36,C91-95,208,Leukaemia,2,462,380,562,462,7.9,15.7,0.78
