Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,218,All cancers,1,13890,13577,14211,13890,143.3,153.4,14.1
1,C00-06,218,"Lip, oral cavity",1,120,29,491,120,1.3,1.3,0.14
2,C07-08,218,Salivary glands,1,49,3,721,49,0.51,0.54,0.05
3,C09-10,218,Oropharynx,1,55,8,380,55,0.60,0.61,0.07
4,C11,218,Nasopharynx,1,17,3,114,17,0.18,0.19,0.02
5,C12-13,218,Hypopharynx,1,12,1,177,12,0.12,0.13,0.01
6,C15,218,Oesophagus,1,149,94,235,149,1.5,1.7,0.15
7,C16,218,Stomach,1,1555,1358,1780,1555,15.9,17.2,1.7
41,C18-C21,218,Colorectum,1,1167,-,-,1167,12.1,12.9,1.3
11,C22,218,Liver and intrahepatic bile ducts,1,528,427,653,528,5.3,5.8,0.56
12,C23,218,Gallbladder,1,72,21,247,72,0.77,0.80,0.09
13,C25,218,Pancreas,1,330,251,434,330,3.4,3.6,0.38
14,C32,218,Larynx,1,126,57,277,126,1.4,1.4,0.16
15,C33-34,218,"Trachea, bronchus and lung",1,664,543,811,664,6.6,7.3,0.69
16,C43,218,Melanoma of skin,1,253,61,1054,253,2.7,2.8,0.32
17,C44,218,Non-melanoma skin cancer,1,645,124,3367,645,6.3,7.1,0.61
18,C45,218,Mesothelioma,1,13,1,191,13,0.14,0.14,0.02
19,C46,218,Kaposi sarcoma,1,58,4,853,58,0.60,0.64,0.06
26,C60,218,Penis,1,139,13,1499,139,1.4,1.5,0.11
27,C61,218,Prostate,1,3456,2771,4311,3456,35.0,38.2,3.9
28,C62,218,Testis,1,363,25,5340,363,3.8,4.0,0.29
29,C64,218,Kidney,1,348,129,936,348,3.9,3.8,0.42
30,C67,218,Bladder,1,532,177,1595,532,5.4,5.9,0.58
31,C70-72,218," Brain, central nervous system",1,350,243,503,350,3.8,3.9,0.34
32,C73,218,Thyroid,1,209,42,1028,209,2.3,2.3,0.25
33,C81,218,Hodgkin lymphoma,1,115,22,606,115,1.2,1.3,0.11
34,C82-86+C88,218,Non-Hodgkin lymphoma,1,765,489,1196,765,8.2,8.5,0.90
35,C90,218,Multiple myeloma,1,157,110,223,157,1.7,1.7,0.19
36,C91-95,218,Leukaemia,1,639,427,957,639,7.0,7.1,0.56
