Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,818,All cancers,1,73611,72921,74308,73611,175.1,137.3,18.3
1,C00-06,818,"Lip, oral cavity",1,697,562,865,697,1.7,1.3,0.19
2,C07-08,818,Salivary glands,1,259,183,366,259,0.63,0.48,0.07
3,C09-10,818,Oropharynx,1,103,57,188,103,0.23,0.19,0.03
4,C11,818,Nasopharynx,1,240,174,330,240,0.54,0.45,0.06
5,C12-13,818,Hypopharynx,1,129,79,212,129,0.30,0.24,0.03
6,C15,818,Oesophagus,1,853,735,990,853,2.1,1.6,0.25
7,C16,818,Stomach,1,1626,1455,1817,1626,3.8,3.0,0.44
41,C18-C21,818,Colorectum,1,2939,-,-,2939,6.6,5.5,0.72
11,C22,818,Liver and intrahepatic bile ducts,1,17759,17170,18368,17759,43.0,33.1,5.0
12,C23,818,Gallbladder,1,373,295,472,373,0.94,0.70,0.10
13,C25,818,Pancreas,1,2042,1829,2280,2042,4.9,3.8,0.59
14,C32,818,Larynx,1,1617,1406,1859,1617,4.0,3.0,0.49
15,C33-34,818,"Trachea, bronchus and lung",1,5599,5198,6031,5599,13.9,10.4,1.7
16,C43,818,Melanoma of skin,1,121,61,242,121,0.28,0.23,0.03
17,C44,818,Non-melanoma skin cancer,1,1092,938,1272,1092,2.7,2.0,0.31
18,C45,818,Mesothelioma,1,208,146,296,208,0.50,0.39,0.06
19,C46,818,Kaposi sarcoma,1,71,24,209,71,0.17,0.13,0.02
26,C60,818,Penis,1,11,1,142,11,0.03,0.02,0.00
27,C61,818,Prostate,1,5181,4874,5507,5181,13.5,9.7,1.6
28,C62,818,Testis,1,304,238,388,304,0.61,0.57,0.05
29,C64,818,Kidney,1,1308,1158,1478,1308,3.0,2.4,0.32
30,C67,818,Bladder,1,10416,9921,10935,10416,26.1,19.4,3.1
31,C70-72,818," Brain, central nervous system",1,2413,2207,2638,2413,5.1,4.5,0.51
32,C73,818,Thyroid,1,799,656,972,799,1.9,1.5,0.20
33,C81,818,Hodgkin lymphoma,1,1102,931,1305,1102,2.1,2.1,0.16
34,C82-86+C88,818,Non-Hodgkin lymphoma,1,4699,4372,5051,4699,10.5,8.8,1.1
35,C90,818,Multiple myeloma,1,588,478,723,588,1.4,1.1,0.17
36,C91-95,818,Leukaemia,1,3332,3030,3664,3332,7.0,6.2,0.67
