Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,222,All cancers,2,5594,5396,5799,5594,128.4,160.4,12.4
1,C00-06,222,"Lip, oral cavity",2,55,15,200,55,1.1,1.6,0.10
2,C07-08,222,Salivary glands,2,19,1,280,19,0.47,0.54,0.04
3,C09-10,222,Oropharynx,2,6,0,88,6,0.11,0.17,0.01
4,C11,222,Nasopharynx,2,4,0,59,4,0.08,0.11,0.01
5,C12-13,222,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,222,Oesophagus,2,36,15,87,36,0.66,1.0,0.06
7,C16,222,Stomach,2,343,264,446,343,7.0,9.8,0.71
41,C18-C21,222,Colorectum,2,396,-,-,396,8.2,11.4,0.79
11,C22,222,Liver and intrahepatic bile ducts,2,262,193,355,262,5.4,7.5,0.57
12,C23,222,Gallbladder,2,62,34,114,62,1.3,1.8,0.15
13,C25,222,Pancreas,2,107,68,168,107,2.2,3.1,0.24
14,C32,222,Larynx,2,12,1,177,12,0.24,0.34,0.02
15,C33-34,222,"Trachea, bronchus and lung",2,204,142,293,204,4.3,5.9,0.46
16,C43,222,Melanoma of skin,2,9,1,132,9,0.16,0.26,0.01
17,C44,222,Non-melanoma skin cancer,2,112,8,1648,112,2.1,3.2,0.18
18,C45,222,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,222,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,222,Breast,2,1612,267,9727,1612,39.7,46.2,4.2
21,C51,222,Vulva,2,28,3,264,28,0.48,0.80,0.04
22,C52,222,Vagina,2,10,1,147,10,0.17,0.29,0.01
23,C53,222,Cervix uteri,2,627,421,933,627,15.2,18.0,1.5
24,C54,222,Corpus uteri,2,124,11,1459,124,2.9,3.6,0.33
25,C56,222,Ovary,2,182,94,353,182,4.3,5.2,0.44
29,C64,222,Kidney,2,64,8,536,64,1.6,1.8,0.16
30,C67,222,Bladder,2,42,12,147,42,0.78,1.2,0.07
31,C70-72,222," Brain, central nervous system",2,144,89,233,144,3.4,4.1,0.32
32,C73,222,Thyroid,2,120,8,1765,120,3.1,3.4,0.33
33,C81,222,Hodgkin lymphoma,2,31,2,456,31,0.77,0.89,0.06
34,C82-86+C88,222,Non-Hodgkin lymphoma,2,92,30,279,92,2.2,2.6,0.23
35,C90,222,Multiple myeloma,2,31,11,87,31,0.73,0.89,0.09
36,C91-95,222,Leukaemia,2,300,184,489,300,7.4,8.6,0.65
