Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,233,All cancers,1,4214,4055,4379,4214,356.4,670.9,36.1
1,C00-06,233,"Lip, oral cavity",1,69,44,109,69,6.6,11.0,0.81
2,C07-08,233,Salivary glands,1,5,2,12,5,0.50,0.80,0.08
3,C09-10,233,Oropharynx,1,35,25,49,35,3.5,5.6,0.45
4,C11,233,Nasopharynx,1,3,1,10,3,0.29,0.48,0.05
5,C12-13,233,Hypopharynx,1,30,20,46,30,2.8,4.8,0.40
6,C15,233,Oesophagus,1,76,60,97,76,6.8,12.1,0.91
7,C16,233,Stomach,1,214,178,257,214,17.5,34.1,2.2
41,C18-C21,233,Colorectum,1,529,-,-,529,40.8,84.2,4.9
11,C22,233,Liver and intrahepatic bile ducts,1,85,67,107,85,7.3,13.5,0.94
12,C23,233,Gallbladder,1,7,3,19,7,0.51,1.1,0.06
13,C25,233,Pancreas,1,127,99,164,127,9.9,20.2,1.3
14,C32,233,Larynx,1,55,36,85,55,4.8,8.8,0.63
15,C33-34,233,"Trachea, bronchus and lung",1,563,495,640,563,45.0,89.6,5.7
16,C43,233,Melanoma of skin,1,114,90,145,114,10.6,18.2,1.2
17,C44,233,Non-melanoma skin cancer,1,123,99,153,123,8.6,19.6,0.81
18,C45,233,Mesothelioma,1,3,1,8,3,0.23,0.48,0.03
19,C46,233,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,233,Penis,1,14,8,24,14,1.1,2.2,0.14
27,C61,233,Prostate,1,1174,1086,1269,1174,98.8,186.9,13.0
28,C62,233,Testis,1,29,20,42,29,4.5,4.6,0.34
29,C64,233,Kidney,1,159,118,214,159,13.8,25.3,1.7
30,C67,233,Bladder,1,237,183,307,237,18.2,37.7,2.2
31,C70-72,233," Brain, central nervous system",1,61,47,80,61,7.0,9.7,0.67
32,C73,233,Thyroid,1,22,14,35,22,2.2,3.5,0.23
33,C81,233,Hodgkin lymphoma,1,18,11,29,18,2.4,2.9,0.20
34,C82-86+C88,233,Non-Hodgkin lymphoma,1,123,93,162,123,11.7,19.6,1.3
35,C90,233,Multiple myeloma,1,51,38,68,51,4.1,8.1,0.56
36,C91-95,233,Leukaemia,1,128,100,163,128,12.4,20.4,1.3
