Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,748,All cancers,2,764,709,824,764,173.6,127.2,16.4
1,C00-06,748,"Lip, oral cavity",2,3,0,24,3,0.69,0.50,0.07
2,C07-08,748,Salivary glands,2,0,0,0,0,0.00,0.00,0.00
3,C09-10,748,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,748,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,748,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,748,Oesophagus,2,5,1,32,5,1.5,0.83,0.17
7,C16,748,Stomach,2,2,0,16,2,0.66,0.33,0.07
41,C18-C21,748,Colorectum,2,23,-,-,23,5.5,3.8,0.62
11,C22,748,Liver and intrahepatic bile ducts,2,13,5,35,13,2.7,2.2,0.23
12,C23,748,Gallbladder,2,0,0,0,0,0.00,0.00,0.00
13,C25,748,Pancreas,2,4,0,32,4,1.1,0.67,0.12
14,C32,748,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,748,"Trachea, bronchus and lung",2,10,4,27,10,2.4,1.7,0.25
16,C43,748,Melanoma of skin,2,2,0,16,2,0.49,0.33,0.03
17,C44,748,Non-melanoma skin cancer,2,23,11,49,23,4.9,3.8,0.52
18,C45,748,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,748,Kaposi sarcoma,2,35,17,73,35,6.4,5.8,0.54
20,C50,748,Breast,2,106,72,155,106,26.2,17.7,2.8
21,C51,748,Vulva,2,24,11,50,24,5.1,4.0,0.52
22,C52,748,Vagina,2,3,0,24,3,0.73,0.50,0.07
23,C53,748,Cervix uteri,2,417,343,506,417,95.9,69.4,9.6
24,C54,748,Corpus uteri,2,2,0,16,2,0.58,0.33,0.05
25,C56,748,Ovary,2,14,5,37,14,3.0,2.3,0.35
29,C64,748,Kidney,2,5,1,25,5,1.0,0.83,0.08
30,C67,748,Bladder,2,4,0,32,4,1.1,0.67,0.12
31,C70-72,748," Brain, central nervous system",2,4,1,18,4,0.64,0.67,0.04
32,C73,748,Thyroid,2,4,0,32,4,1.2,0.67,0.19
33,C81,748,Hodgkin lymphoma,2,3,0,24,3,0.43,0.50,0.03
34,C82-86+C88,748,Non-Hodgkin lymphoma,2,13,3,57,13,2.6,2.2,0.24
35,C90,748,Multiple myeloma,2,1,0,8,1,0.33,0.17,0.03
36,C91-95,748,Leukaemia,2,9,2,38,9,1.7,1.5,0.10
