Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,748,All cancers,1,344,307,385,344,107.8,58.9,10.1
1,C00-06,748,"Lip, oral cavity",1,4,0,32,4,1.4,0.68,0.23
2,C07-08,748,Salivary glands,1,0,0,0,0,0.00,0.00,0.00
3,C09-10,748,Oropharynx,1,2,0,16,2,0.65,0.34,0.12
4,C11,748,Nasopharynx,1,1,0,8,1,0.17,0.17,0.01
5,C12-13,748,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,748,Oesophagus,1,8,2,28,8,2.7,1.4,0.30
7,C16,748,Stomach,1,6,1,33,6,2.8,1.0,0.18
41,C18-C21,748,Colorectum,1,14,-,-,14,4.2,2.4,0.48
11,C22,748,Liver and intrahepatic bile ducts,1,18,8,42,18,5.9,3.1,0.51
12,C23,748,Gallbladder,1,0,0,0,0,0.00,0.00,0.00
13,C25,748,Pancreas,1,5,1,25,5,1.7,0.86,0.26
14,C32,748,Larynx,1,2,0,16,2,0.76,0.34,0.07
15,C33-34,748,"Trachea, bronchus and lung",1,19,8,47,19,7.6,3.3,0.63
16,C43,748,Melanoma of skin,1,1,0,8,1,0.33,0.17,0.00
17,C44,748,Non-melanoma skin cancer,1,12,5,27,12,3.5,2.1,0.36
18,C45,748,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,748,Kaposi sarcoma,1,61,38,97,61,11.4,10.4,0.95
26,C60,748,Penis,1,22,10,47,22,6.8,3.8,0.74
27,C61,748,Prostate,1,101,71,144,101,41.0,17.3,4.0
28,C62,748,Testis,1,0,0,0,0,0.00,0.00,0.00
29,C64,748,Kidney,1,0,0,0,0,0.00,0.00,0.00
30,C67,748,Bladder,1,3,0,24,3,0.98,0.51,0.12
31,C70-72,748," Brain, central nervous system",1,2,0,16,2,0.28,0.34,0.02
32,C73,748,Thyroid,1,0,0,0,0,0.00,0.00,0.00
33,C81,748,Hodgkin lymphoma,1,4,0,32,4,0.79,0.68,0.07
34,C82-86+C88,748,Non-Hodgkin lymphoma,1,16,6,39,16,3.9,2.7,0.42
35,C90,748,Multiple myeloma,1,3,0,24,3,0.79,0.51,0.08
36,C91-95,748,Leukaemia,1,3,0,24,3,0.58,0.51,0.04
