Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,231,All cancers,1,27713,27335,28096,27713,75.8,45.9,8.2
1,C00-06,231,"Lip, oral cavity",1,494,425,574,494,1.3,0.82,0.16
2,C07-08,231,Salivary glands,1,205,146,288,205,0.62,0.34,0.07
3,C09-10,231,Oropharynx,1,98,55,174,98,0.27,0.16,0.03
4,C11,231,Nasopharynx,1,559,459,680,559,1.3,0.92,0.12
5,C12-13,231,Hypopharynx,1,47,21,106,47,0.11,0.08,0.01
6,C15,231,Oesophagus,1,569,486,667,569,1.9,0.94,0.24
7,C16,231,Stomach,1,1152,1026,1293,1152,3.4,1.9,0.37
41,C18-C21,231,Colorectum,1,3347,-,-,3347,9.8,5.5,1.2
11,C22,231,Liver and intrahepatic bile ducts,1,1647,1032,2629,1647,5.1,2.7,0.62
12,C23,231,Gallbladder,1,120,75,191,120,0.38,0.20,0.04
13,C25,231,Pancreas,1,472,393,567,472,1.5,0.78,0.17
14,C32,231,Larynx,1,399,329,483,399,1.3,0.66,0.15
15,C33-34,231,"Trachea, bronchus and lung",1,1226,1097,1370,1226,3.9,2.0,0.46
16,C43,231,Melanoma of skin,1,120,75,191,120,0.35,0.20,0.04
17,C44,231,Non-melanoma skin cancer,1,1125,1000,1265,1125,3.1,1.9,0.34
18,C45,231,Mesothelioma,1,8,1,79,8,0.03,0.01,0.01
19,C46,231,Kaposi sarcoma,1,114,67,194,114,0.27,0.19,0.03
26,C60,231,Penis,1,39,14,110,39,0.11,0.06,0.01
27,C61,231,Prostate,1,2317,2155,2491,2317,8.0,3.8,1.0
28,C62,231,Testis,1,281,222,356,281,0.56,0.46,0.05
29,C64,231,Kidney,1,1054,932,1192,1054,2.8,1.7,0.29
30,C67,231,Bladder,1,1117,993,1257,1117,3.6,1.9,0.42
31,C70-72,231," Brain, central nervous system",1,434,359,525,434,0.99,0.72,0.10
32,C73,231,Thyroid,1,787,674,919,787,2.1,1.3,0.25
33,C81,231,Hodgkin lymphoma,1,553,455,672,553,0.90,0.91,0.07
34,C82-86+C88,231,Non-Hodgkin lymphoma,1,2178,2007,2363,2178,5.1,3.6,0.52
35,C90,231,Multiple myeloma,1,193,138,270,193,0.61,0.32,0.09
36,C91-95,231,Leukaemia,1,2636,2447,2840,2636,5.4,4.4,0.49
