Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,242,All cancers,2,947,868,1033,947,201.1,210.8,18.8
1,C00-06,242,"Lip, oral cavity",2,15,1,221,15,3.2,3.3,0.29
2,C07-08,242,Salivary glands,2,5,0,74,5,1.0,1.1,0.08
3,C09-10,242,Oropharynx,2,1,0,15,1,0.18,0.22,0.02
4,C11,242,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,242,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,242,Oesophagus,2,7,0,103,7,1.7,1.6,0.10
7,C16,242,Stomach,2,15,1,199,15,3.3,3.3,0.34
41,C18-C21,242,Colorectum,2,48,-,-,48,10.7,10.7,1.1
11,C22,242,Liver and intrahepatic bile ducts,2,25,12,53,25,5.4,5.6,0.61
12,C23,242,Gallbladder,2,5,0,74,5,1.0,1.1,0.12
13,C25,242,Pancreas,2,9,1,76,9,2.1,2.0,0.18
14,C32,242,Larynx,2,6,0,88,6,1.3,1.3,0.10
15,C33-34,242,"Trachea, bronchus and lung",2,23,10,54,23,4.9,5.1,0.57
16,C43,242,Melanoma of skin,2,6,0,88,6,1.4,1.3,0.09
17,C44,242,Non-melanoma skin cancer,2,3,0,44,3,0.63,0.67,0.08
18,C45,242,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,242,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,242,Breast,2,289,187,447,289,60.3,64.3,6.3
21,C51,242,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,242,Vagina,2,2,0,29,2,0.46,0.45,0.05
23,C53,242,Cervix uteri,2,165,91,301,165,35.0,36.7,3.3
24,C54,242,Corpus uteri,2,67,6,791,67,14.0,14.9,1.7
25,C56,242,Ovary,2,52,18,148,52,11.1,11.6,1.0
29,C64,242,Kidney,2,4,0,59,4,0.94,0.89,0.08
30,C67,242,Bladder,2,5,0,74,5,1.1,1.1,0.16
31,C70-72,242," Brain, central nervous system",2,1,0,15,1,0.20,0.22,0.02
32,C73,242,Thyroid,2,68,5,1000,68,14.5,15.1,1.5
33,C81,242,Hodgkin lymphoma,2,7,0,103,7,1.5,1.6,0.10
34,C82-86+C88,242,Non-Hodgkin lymphoma,2,21,1,309,21,4.3,4.7,0.41
35,C90,242,Multiple myeloma,2,4,0,59,4,0.85,0.89,0.09
36,C91-95,242,Leukaemia,2,27,4,192,27,6.0,6.0,0.49
