Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,242,All cancers,1,654,589,727,654,150.3,142.1,15.7
1,C00-06,242,"Lip, oral cavity",1,14,1,206,14,3.2,3.0,0.37
2,C07-08,242,Salivary glands,1,4,0,59,4,0.80,0.87,0.09
3,C09-10,242,Oropharynx,1,2,0,29,2,0.39,0.43,0.04
4,C11,242,Nasopharynx,1,3,0,44,3,0.57,0.65,0.07
5,C12-13,242,Hypopharynx,1,0,0,0,0,0.00,0.00,0.00
6,C15,242,Oesophagus,1,10,4,27,10,2.4,2.2,0.24
7,C16,242,Stomach,1,22,7,73,22,4.9,4.8,0.57
41,C18-C21,242,Colorectum,1,48,-,-,48,12.3,10.4,1.4
11,C22,242,Liver and intrahepatic bile ducts,1,63,37,108,63,14.6,13.7,1.7
12,C23,242,Gallbladder,1,4,0,59,4,0.93,0.87,0.16
13,C25,242,Pancreas,1,14,5,43,14,3.7,3.0,0.37
14,C32,242,Larynx,1,10,1,147,10,2.3,2.2,0.26
15,C33-34,242,"Trachea, bronchus and lung",1,37,19,73,37,9.1,8.0,1.0
16,C43,242,Melanoma of skin,1,1,0,15,1,0.25,0.22,0.04
17,C44,242,Non-melanoma skin cancer,1,5,0,74,5,1.3,1.1,0.14
18,C45,242,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,242,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,242,Penis,1,5,0,74,5,1.3,1.1,0.02
27,C61,242,Prostate,1,218,21,2273,218,50.2,47.4,6.4
28,C62,242,Testis,1,18,1,265,18,3.7,3.9,0.28
29,C64,242,Kidney,1,1,0,15,1,0.22,0.22,0.03
30,C67,242,Bladder,1,18,1,265,18,4.1,3.9,0.52
31,C70-72,242," Brain, central nervous system",1,1,0,15,1,0.23,0.22,0.02
32,C73,242,Thyroid,1,12,1,177,12,2.8,2.6,0.38
33,C81,242,Hodgkin lymphoma,1,8,1,118,8,1.6,1.7,0.12
34,C82-86+C88,242,Non-Hodgkin lymphoma,1,30,5,178,30,6.3,6.5,0.59
35,C90,242,Multiple myeloma,1,6,1,70,6,1.3,1.3,0.13
36,C91-95,242,Leukaemia,1,37,9,145,37,7.9,8.0,0.62
