Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,246,All cancers,1,19737,19357,20124,19737,294.9,720.0,28.7
1,C00-06,246,"Lip, oral cavity",1,296,258,340,296,5.2,10.8,0.61
2,C07-08,246,Salivary glands,1,42,29,60,42,0.75,1.5,0.08
3,C09-10,246,Oropharynx,1,87,69,110,87,1.8,3.2,0.22
4,C11,246,Nasopharynx,1,12,6,22,12,0.25,0.44,0.03
5,C12-13,246,Hypopharynx,1,36,25,53,36,0.60,1.3,0.08
6,C15,246,Oesophagus,1,271,236,312,271,4.1,9.9,0.54
7,C16,246,Stomach,1,339,302,380,339,5.0,12.4,0.58
41,C18-C21,246,Colorectum,1,2123,-,-,2123,30.6,77.4,3.5
11,C22,246,Liver and intrahepatic bile ducts,1,454,405,509,454,6.0,16.6,0.72
12,C23,246,Gallbladder,1,33,22,50,33,0.41,1.2,0.05
13,C25,246,Pancreas,1,722,662,787,722,9.9,26.3,1.2
14,C32,246,Larynx,1,106,86,130,106,1.7,3.9,0.22
15,C33-34,246,"Trachea, bronchus and lung",1,1828,1737,1924,1828,25.1,66.7,3.0
16,C43,246,Melanoma of skin,1,1161,1077,1252,1161,20.0,42.4,2.2
17,C44,246,Non-melanoma skin cancer,1,1266,1178,1361,1266,13.5,46.2,1.0
18,C45,246,Mesothelioma,1,81,63,105,81,0.99,3.0,0.12
19,C46,246,Kaposi sarcoma,1,12,6,25,12,0.17,0.44,0.01
26,C60,246,Penis,1,43,30,61,43,0.68,1.6,0.08
27,C61,246,Prostate,1,5930,5749,6116,5930,82.2,216.3,10.1
28,C62,246,Testis,1,187,158,221,187,6.8,6.8,0.52
29,C64,246,Kidney,1,681,622,746,681,11.8,24.8,1.3
30,C67,246,Bladder,1,1056,983,1135,1056,13.9,38.5,1.6
31,C70-72,246," Brain, central nervous system",1,253,220,292,253,5.8,9.2,0.56
32,C73,246,Thyroid,1,167,138,202,167,3.9,6.1,0.39
33,C81,246,Hodgkin lymphoma,1,102,82,127,102,3.0,3.7,0.26
34,C82-86+C88,246,Non-Hodgkin lymphoma,1,810,746,879,810,13.4,29.6,1.5
35,C90,246,Multiple myeloma,1,246,212,285,246,3.3,9.0,0.38
36,C91-95,246,Leukaemia,1,487,438,541,487,9.5,17.8,0.89
