Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,474,All cancers,2,882,823,945,882,189.5,435.9,19.2
1,C00-06,474,"Lip, oral cavity",2,2,2,2,2,0.23,0.99,0.04
2,C07-08,474,Salivary glands,2,1,1,1,1,0.22,0.49,0.04
3,C09-10,474,Oropharynx,2,0,0,0,0,0.00,0.00,0.00
4,C11,474,Nasopharynx,2,0,0,0,0,0.00,0.00,0.00
5,C12-13,474,Hypopharynx,2,0,0,0,0,0.00,0.00,0.00
6,C15,474,Oesophagus,2,4,4,4,4,0.71,2.0,0.11
7,C16,474,Stomach,2,51,33,78,51,8.1,25.2,0.91
41,C18-C21,474,Colorectum,2,106,-,-,106,19.3,52.4,2.2
11,C22,474,Liver and intrahepatic bile ducts,2,17,16,18,17,2.3,8.4,0.26
12,C23,474,Gallbladder,2,6,3,12,6,0.89,3.0,0.11
13,C25,474,Pancreas,2,35,33,37,35,5.1,17.3,0.62
14,C32,474,Larynx,2,0,0,0,0,0.00,0.00,0.00
15,C33-34,474,"Trachea, bronchus and lung",2,35,34,36,35,6.1,17.3,0.73
16,C43,474,Melanoma of skin,2,8,8,8,8,1.4,4.0,0.17
17,C44,474,Non-melanoma skin cancer,2,44,41,47,44,8.4,21.7,0.89
18,C45,474,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,474,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,474,Breast,2,288,281,295,288,77.2,142.3,8.0
21,C51,474,Vulva,2,0,0,0,0,0.00,0.00,0.00
22,C52,474,Vagina,2,2,1,4,2,0.27,0.99,0.04
23,C53,474,Cervix uteri,2,29,24,35,29,7.5,14.3,0.83
24,C54,474,Corpus uteri,2,48,44,52,48,9.1,23.7,1.2
25,C56,474,Ovary,2,15,15,15,15,3.5,7.4,0.39
29,C64,474,Kidney,2,13,12,14,13,2.8,6.4,0.30
30,C67,474,Bladder,2,17,16,18,17,2.0,8.4,0.18
31,C70-72,474," Brain, central nervous system",2,5,5,5,5,1.2,2.5,0.17
32,C73,474,Thyroid,2,30,25,36,30,9.7,14.8,1.0
33,C81,474,Hodgkin lymphoma,2,0,0,0,0,0.00,0.00,0.00
34,C82-86+C88,474,Non-Hodgkin lymphoma,2,20,19,21,20,4.2,9.9,0.50
35,C90,474,Multiple myeloma,2,33,26,42,33,5.7,16.3,0.67
36,C91-95,474,Leukaemia,2,30,28,32,30,5.9,14.8,0.63
