Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,250,All cancers,2,220229,218215,222261,220229,301.0,650.8,28.4
1,C00-06,250,"Lip, oral cavity",2,2458,1996,3026,2458,3.1,7.3,0.38
2,C07-08,250,Salivary glands,2,291,206,411,291,0.50,0.86,0.05
3,C09-10,250,Oropharynx,2,982,776,1243,982,1.6,2.9,0.21
4,C11,250,Nasopharynx,2,95,66,136,95,0.21,0.28,0.02
5,C12-13,250,Hypopharynx,2,278,185,418,278,0.45,0.82,0.06
6,C15,250,Oesophagus,2,1242,1097,1406,1242,1.6,3.7,0.21
7,C16,250,Stomach,2,2644,2334,2995,2644,2.7,7.8,0.29
41,C18-C21,250,Colorectum,2,24684,-,-,24684,27.4,72.9,3.1
11,C22,250,Liver and intrahepatic bile ducts,2,3457,3217,3715,3457,3.4,10.2,0.39
12,C23,250,Gallbladder,2,389,306,495,389,0.38,1.2,0.04
13,C25,250,Pancreas,2,7984,7522,8474,7984,7.8,23.6,0.87
14,C32,250,Larynx,2,466,324,671,466,0.75,1.4,0.09
15,C33-34,250,"Trachea, bronchus and lung",2,16801,16108,17523,16801,24.7,49.7,3.1
16,C43,250,Melanoma of skin,2,7849,6716,9173,7849,12.6,23.2,1.3
17,C44,250,Non-melanoma skin cancer,2,19594,16178,23731,19594,15.5,57.9,1.5
18,C45,250,Mesothelioma,2,485,406,579,485,0.39,1.4,0.04
19,C46,250,Kaposi sarcoma,2,33,9,125,33,0.04,0.10,0.00
20,C50,250,Breast,2,65659,63728,67648,65659,105.4,194.0,11.1
21,C51,250,Vulva,2,1078,840,1383,1078,1.1,3.2,0.12
22,C52,250,Vagina,2,246,151,402,246,0.33,0.73,0.03
23,C53,250,Cervix uteri,2,3185,2857,3551,3185,6.6,9.4,0.65
24,C54,250,Corpus uteri,2,9760,8938,10657,9760,12.1,28.8,1.6
25,C56,250,Ovary,2,5696,5392,6017,5696,7.1,16.8,0.82
29,C64,250,Kidney,2,5288,4720,5924,5288,7.8,15.6,0.86
30,C67,250,Bladder,2,3691,3370,4042,3691,3.3,10.9,0.37
31,C70-72,250," Brain, central nervous system",2,2987,2764,3229,2987,5.0,8.8,0.49
32,C73,250,Thyroid,2,7232,5604,9333,7232,16.5,21.4,1.6
33,C81,250,Hodgkin lymphoma,2,739,432,1265,739,1.9,2.2,0.15
34,C82-86+C88,250,Non-Hodgkin lymphoma,2,7255,6734,7816,7255,8.5,21.4,0.92
35,C90,250,Multiple myeloma,2,2513,2269,2783,2513,2.8,7.4,0.35
36,C91-95,250,Leukaemia,2,6023,5536,6553,6023,7.7,17.8,0.75
