Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,266,All cancers,1,742,682,807,742,96.4,62.6,10.4
1,C00-06,266,"Lip, oral cavity",1,37,19,73,37,4.9,3.1,0.52
2,C07-08,266,Salivary glands,1,6,1,59,6,0.70,0.51,0.06
3,C09-10,266,Oropharynx,1,11,3,36,11,1.5,0.93,0.18
4,C11,266,Nasopharynx,1,7,2,31,7,0.73,0.59,0.08
5,C12-13,266,Hypopharynx,1,1,0,10,1,0.11,0.08,0.01
6,C15,266,Oesophagus,1,16,6,43,16,2.2,1.4,0.25
7,C16,266,Stomach,1,28,12,65,28,3.4,2.4,0.37
41,C18-C21,266,Colorectum,1,65,-,-,65,8.2,5.5,0.95
11,C22,266,Liver and intrahepatic bile ducts,1,92,60,140,92,10.0,7.8,1.0
12,C23,266,Gallbladder,1,4,0,39,4,0.49,0.34,0.06
13,C25,266,Pancreas,1,24,11,54,24,3.2,2.0,0.38
14,C32,266,Larynx,1,30,15,62,30,4.3,2.5,0.54
15,C33-34,266,"Trachea, bronchus and lung",1,25,9,70,25,3.5,2.1,0.43
16,C43,266,Melanoma of skin,1,0,0,0,0,0.00,0.00,0.00
17,C44,266,Non-melanoma skin cancer,1,16,6,43,16,2.1,1.4,0.26
18,C45,266,Mesothelioma,1,1,0,10,1,0.10,0.08,0.01
19,C46,266,Kaposi sarcoma,1,36,19,68,36,3.8,3.0,0.42
26,C60,266,Penis,1,1,0,10,1,0.13,0.08,0.02
27,C61,266,Prostate,1,152,109,212,152,26.1,12.8,3.3
28,C62,266,Testis,1,4,0,39,4,0.30,0.34,0.02
29,C64,266,Kidney,1,13,3,66,13,1.4,1.1,0.11
30,C67,266,Bladder,1,14,5,40,14,2.0,1.2,0.23
31,C70-72,266," Brain, central nervous system",1,9,2,41,9,1.0,0.76,0.09
32,C73,266,Thyroid,1,1,0,10,1,0.19,0.08,0.02
33,C81,266,Hodgkin lymphoma,1,4,0,39,4,0.35,0.34,0.03
34,C82-86+C88,266,Non-Hodgkin lymphoma,1,41,22,76,41,4.1,3.5,0.36
35,C90,266,Multiple myeloma,1,6,2,23,6,0.70,0.51,0.07
36,C91-95,266,Leukaemia,1,16,6,43,16,1.4,1.4,0.11
