Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,276,All cancers,1,323545,321226,325881,323545,306.5,779.4,30.3
1,C00-06,276,"Lip, oral cavity",1,3525,3140,3957,3525,3.9,8.5,0.49
2,C07-08,276,Salivary glands,1,616,465,816,616,0.63,1.5,0.07
3,C09-10,276,Oropharynx,1,3369,3034,3742,3369,4.0,8.1,0.52
4,C11,276,Nasopharynx,1,300,210,428,300,0.44,0.72,0.05
5,C12-13,276,Hypopharynx,1,1633,1423,1874,1633,1.8,3.9,0.25
6,C15,276,Oesophagus,1,5621,5260,6007,5621,5.7,13.5,0.76
7,C16,276,Stomach,1,8347,7801,8931,8347,8.7,20.1,1.1
41,C18-C21,276,Colorectum,1,33197,-,-,33197,31.2,80.0,3.7
11,C22,276,Liver and intrahepatic bile ducts,1,6695,6299,7116,6695,6.7,16.1,0.88
12,C23,276,Gallbladder,1,517,412,648,517,0.41,1.3,0.05
13,C25,276,Pancreas,1,10970,10414,11555,10970,9.9,26.4,1.2
14,C32,276,Larynx,1,3161,2759,3621,3161,3.2,7.6,0.40
15,C33-34,276,"Trachea, bronchus and lung",1,36871,35496,38299,36871,35.2,88.8,4.3
16,C43,276,Melanoma of skin,1,11667,10318,13192,11667,13.4,28.1,1.5
17,C44,276,Non-melanoma skin cancer,1,45432,38950,52993,45432,31.8,109.4,3.0
18,C45,276,Mesothelioma,1,1448,1309,1602,1448,1.2,3.5,0.15
19,C46,276,Kaposi sarcoma,1,104,49,223,104,0.14,0.25,0.02
26,C60,276,Penis,1,856,657,1115,856,0.87,2.1,0.10
27,C61,276,Prostate,1,65269,61779,68956,65269,54.2,157.2,6.9
28,C62,276,Testis,1,4254,3203,5650,4254,9.5,10.3,0.77
29,C64,276,Kidney,1,12933,12112,13810,12933,12.6,31.2,1.5
30,C67,276,Bladder,1,21387,20036,22829,21387,19.5,51.5,2.4
31,C70-72,276," Brain, central nervous system",1,4487,4215,4776,4487,6.2,10.8,0.65
32,C73,276,Thyroid,1,1699,1293,2233,1699,2.8,4.1,0.28
33,C81,276,Hodgkin lymphoma,1,1637,1272,2106,1637,3.0,3.9,0.27
34,C82-86+C88,276,Non-Hodgkin lymphoma,1,10475,9703,11308,10475,11.6,25.2,1.3
35,C90,276,Multiple myeloma,1,3765,3469,4086,3765,3.7,9.1,0.46
36,C91-95,276,Leukaemia,1,8411,7934,8917,8411,9.2,20.3,0.99
