Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,300,All cancers,2,29139,28474,29820,29139,231.3,554.8,22.5
1,C00-06,300,"Lip, oral cavity",2,261,191,356,261,1.6,5.0,0.17
2,C07-08,300,Salivary glands,2,47,28,79,47,0.23,0.89,0.02
3,C09-10,300,Oropharynx,2,16,7,35,16,0.15,0.30,0.02
4,C11,300,Nasopharynx,2,40,23,71,40,0.35,0.76,0.04
5,C12-13,300,Hypopharynx,2,5,1,31,5,0.03,0.10,0.00
6,C15,300,Oesophagus,2,48,33,70,48,0.25,0.91,0.03
7,C16,300,Stomach,2,697,562,864,697,4.1,13.3,0.46
41,C18-C21,300,Colorectum,2,3513,-,-,3513,21.5,66.9,2.5
11,C22,300,Liver and intrahepatic bile ducts,2,570,469,693,570,3.1,10.9,0.32
12,C23,300,Gallbladder,2,52,33,82,52,0.27,0.99,0.03
13,C25,300,Pancreas,2,1080,941,1240,1080,6.3,20.6,0.72
14,C32,300,Larynx,2,62,40,97,62,0.47,1.2,0.06
15,C33-34,300,"Trachea, bronchus and lung",2,2226,2018,2456,2226,15.7,42.4,2.0
16,C43,300,Melanoma of skin,2,624,388,1003,624,6.0,11.9,0.61
17,C44,300,Non-melanoma skin cancer,2,1157,856,1563,1157,4.1,22.0,0.30
18,C45,300,Mesothelioma,2,29,13,66,29,0.20,0.55,0.03
19,C46,300,Kaposi sarcoma,2,8,3,21,8,0.02,0.15,0.00
20,C50,300,Breast,2,8987,8176,9878,8987,82.4,171.1,8.7
21,C51,300,Vulva,2,205,153,275,205,1.0,3.9,0.12
22,C52,300,Vagina,2,17,6,47,17,0.14,0.32,0.02
23,C53,300,Cervix uteri,2,473,363,617,473,5.5,9.0,0.55
24,C54,300,Corpus uteri,2,1950,1460,2604,1950,18.6,37.1,2.2
25,C56,300,Ovary,2,983,836,1156,983,8.9,18.7,0.95
29,C64,300,Kidney,2,628,485,814,628,4.8,12.0,0.55
30,C67,300,Bladder,2,865,668,1120,865,6.0,16.5,0.71
31,C70-72,300," Brain, central nervous system",2,572,479,683,572,5.3,10.9,0.51
32,C73,300,Thyroid,2,748,522,1072,748,8.0,14.2,0.92
33,C81,300,Hodgkin lymphoma,2,93,63,137,93,2.1,1.8,0.15
34,C82-86+C88,300,Non-Hodgkin lymphoma,2,644,545,761,644,4.9,12.3,0.55
35,C90,300,Multiple myeloma,2,365,284,470,365,2.3,7.0,0.28
36,C91-95,300,Leukaemia,2,860,711,1041,860,7.5,16.4,0.68
