Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,320,All cancers,1,7783,7549,8024,7783,119.6,85.0,12.5
1,C00-06,320,"Lip, oral cavity",1,52,12,227,52,0.78,0.57,0.08
2,C07-08,320,Salivary glands,1,8,1,118,8,0.13,0.09,0.01
3,C09-10,320,Oropharynx,1,26,7,91,26,0.44,0.28,0.07
4,C11,320,Nasopharynx,1,9,1,98,9,0.16,0.10,0.02
5,C12-13,320,Hypopharynx,1,5,0,74,5,0.08,0.05,0.02
6,C15,320,Oesophagus,1,90,52,157,90,1.4,0.98,0.15
7,C16,320,Stomach,1,725,624,842,725,11.4,7.9,1.2
41,C18-C21,320,Colorectum,1,416,-,-,416,6.5,4.5,0.74
11,C22,320,Liver and intrahepatic bile ducts,1,985,892,1088,985,16.3,10.8,1.9
12,C23,320,Gallbladder,1,18,4,76,18,0.29,0.20,0.03
13,C25,320,Pancreas,1,175,119,258,175,2.8,1.9,0.33
14,C32,320,Larynx,1,68,25,188,68,1.0,0.74,0.11
15,C33-34,320,"Trachea, bronchus and lung",1,293,225,382,293,4.5,3.2,0.49
16,C43,320,Melanoma of skin,1,40,7,243,40,0.64,0.44,0.08
17,C44,320,Non-melanoma skin cancer,1,221,52,931,221,3.1,2.4,0.23
18,C45,320,Mesothelioma,1,0,0,0,0,0.00,0.00,0.00
19,C46,320,Kaposi sarcoma,1,0,0,0,0,0.00,0.00,0.00
26,C60,320,Penis,1,21,1,309,21,0.30,0.23,0.02
27,C61,320,Prostate,1,2696,1850,3929,2696,43.6,29.4,5.0
28,C62,320,Testis,1,223,15,3281,223,2.5,2.4,0.20
29,C64,320,Kidney,1,145,52,401,145,2.4,1.6,0.28
30,C67,320,Bladder,1,67,18,254,67,1.1,0.73,0.13
31,C70-72,320," Brain, central nervous system",1,114,70,185,114,1.6,1.2,0.18
32,C73,320,Thyroid,1,150,10,2207,150,2.0,1.6,0.20
33,C81,320,Hodgkin lymphoma,1,102,7,1501,102,1.3,1.1,0.12
34,C82-86+C88,320,Non-Hodgkin lymphoma,1,196,81,475,196,2.9,2.1,0.32
35,C90,320,Multiple myeloma,1,25,10,63,25,0.43,0.27,0.05
36,C91-95,320,Leukaemia,1,539,355,818,539,6.6,5.9,0.57
