Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,348,All cancers,2,32090,31418,32776,32090,298.8,638.0,28.8
1,C00-06,348,"Lip, oral cavity",2,311,228,424,311,2.9,6.2,0.35
2,C07-08,348,Salivary glands,2,61,37,101,61,0.51,1.2,0.05
3,C09-10,348,Oropharynx,2,155,89,269,155,1.5,3.1,0.20
4,C11,348,Nasopharynx,2,21,12,38,21,0.25,0.42,0.03
5,C12-13,348,Hypopharynx,2,85,59,122,85,0.96,1.7,0.12
6,C15,348,Oesophagus,2,102,71,146,102,0.76,2.0,0.10
7,C16,348,Stomach,2,733,634,848,733,5.0,14.6,0.57
41,C18-C21,348,Colorectum,2,3996,-,-,3996,30.4,79.4,3.6
11,C22,348,Liver and intrahepatic bile ducts,2,318,258,392,318,2.2,6.3,0.27
12,C23,348,Gallbladder,2,138,105,181,138,0.82,2.7,0.09
13,C25,348,Pancreas,2,1282,1137,1446,1282,8.8,25.5,1.0
14,C32,348,Larynx,2,128,82,199,128,1.3,2.5,0.17
15,C33-34,348,"Trachea, bronchus and lung",2,4205,3955,4471,4205,35.0,83.6,4.4
16,C43,348,Melanoma of skin,2,736,542,999,736,8.2,14.6,0.84
17,C44,348,Non-melanoma skin cancer,2,2031,1406,2933,2031,13.4,40.4,1.4
18,C45,348,Mesothelioma,2,24,13,45,24,0.20,0.48,0.03
19,C46,348,Kaposi sarcoma,2,4,0,53,4,0.03,0.08,0.00
20,C50,348,Breast,2,7694,7053,8393,7694,76.4,153.0,8.5
21,C51,348,Vulva,2,251,178,354,251,1.6,5.0,0.19
22,C52,348,Vagina,2,71,44,116,71,0.52,1.4,0.07
23,C53,348,Cervix uteri,2,964,796,1168,964,12.6,19.2,1.2
24,C54,348,Corpus uteri,2,1712,1410,2079,1712,16.0,34.0,2.0
25,C56,348,Ovary,2,1012,886,1156,1012,10.2,20.1,1.1
29,C64,348,Kidney,2,783,646,949,783,7.2,15.6,0.83
30,C67,348,Bladder,2,980,762,1260,980,7.4,19.5,0.96
31,C70-72,348," Brain, central nervous system",2,368,294,461,368,4.3,7.3,0.42
32,C73,348,Thyroid,2,1455,1034,2048,1455,25.8,28.9,2.1
33,C81,348,Hodgkin lymphoma,2,125,69,226,125,2.8,2.5,0.20
34,C82-86+C88,348,Non-Hodgkin lymphoma,2,649,529,796,649,6.0,12.9,0.70
35,C90,348,Multiple myeloma,2,205,152,276,205,1.7,4.1,0.21
36,C91-95,348,Leukaemia,2,639,516,792,639,6.5,12.7,0.65
