Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,360,All cancers,1,188395,187257,189540,188395,135.5,134.1,14.1
1,C00-06,360,"Lip, oral cavity",1,4010,3866,4159,4010,2.9,2.9,0.33
2,C07-08,360,Salivary glands,1,1532,110,21258,1532,1.0,1.1,0.11
3,C09-10,360,Oropharynx,1,1109,1037,1186,1109,0.78,0.79,0.08
4,C11,360,Nasopharynx,1,14497,5065,41490,14497,9.6,10.3,1.1
5,C12-13,360,Hypopharynx,1,190,187,193,190,0.13,0.14,0.02
6,C15,360,Oesophagus,1,1042,334,3255,1042,0.75,0.74,0.09
7,C16,360,Stomach,1,3040,2534,3647,3040,2.4,2.2,0.21
41,C18-C21,360,Colorectum,1,21903,-,-,21903,15.7,15.6,1.8
11,C22,360,Liver and intrahepatic bile ducts,1,18314,7614,44053,18314,12.9,13.0,1.5
12,C23,360,Gallbladder,1,417,406,429,417,0.35,0.30,0.02
13,C25,360,Pancreas,1,3156,820,12146,3156,2.4,2.3,0.26
14,C32,360,Larynx,1,3727,269,51716,3727,2.7,2.7,0.32
15,C33-34,360,"Trachea, bronchus and lung",1,29107,17998,47073,29107,21.3,20.7,2.5
16,C43,360,Melanoma of skin,1,942,639,1389,942,0.71,0.67,0.08
17,C44,360,Non-melanoma skin cancer,1,4302,2164,8551,4302,3.3,3.1,0.34
18,C45,360,Mesothelioma,1,201,14,2789,201,0.17,0.14,0.02
19,C46,360,Kaposi sarcoma,1,88,60,129,88,0.06,0.06,0.01
26,C60,360,Penis,1,1098,997,1209,1098,0.77,0.78,0.08
27,C61,360,Prostate,1,13130,9266,18605,13130,10.5,9.3,1.2
28,C62,360,Testis,1,1492,125,17845,1492,1.1,1.1,0.07
29,C64,360,Kidney,1,1983,1388,2834,1983,1.4,1.4,0.16
30,C67,360,Bladder,1,6212,1110,34762,6212,4.7,4.4,0.54
31,C70-72,360," Brain, central nervous system",1,3309,238,45916,3309,2.3,2.4,0.22
32,C73,360,Thyroid,1,4120,365,46462,4120,2.8,2.9,0.30
33,C81,360,Hodgkin lymphoma,1,912,340,2443,912,0.62,0.65,0.05
34,C82-86+C88,360,Non-Hodgkin lymphoma,1,10258,5339,19709,10258,7.3,7.3,0.80
35,C90,360,Multiple myeloma,1,2062,149,28612,2062,1.5,1.5,0.19
36,C91-95,360,Leukaemia,1,8494,2524,28589,8494,6.4,6.1,0.53
