Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,364,All cancers,2,60757,60213,61306,60757,129.1,142.5,13.2
1,C00-06,364,"Lip, oral cavity",2,561,471,669,561,1.2,1.3,0.14
2,C07-08,364,Salivary glands,2,122,65,230,122,0.26,0.29,0.03
3,C09-10,364,Oropharynx,2,54,21,140,54,0.12,0.13,0.01
4,C11,364,Nasopharynx,2,95,48,187,95,0.21,0.22,0.02
5,C12-13,364,Hypopharynx,2,57,23,144,57,0.13,0.13,0.02
6,C15,364,Oesophagus,2,1566,1421,1725,1566,3.5,3.7,0.42
7,C16,364,Stomach,2,6387,6097,6691,6387,14.3,15.0,1.7
41,C18-C21,364,Colorectum,2,5545,-,-,5545,11.9,13.0,1.4
11,C22,364,Liver and intrahepatic bile ducts,2,2650,2461,2853,2650,5.9,6.2,0.65
12,C23,364,Gallbladder,2,251,189,333,251,0.56,0.59,0.07
13,C25,364,Pancreas,2,1305,1173,1452,1305,2.9,3.1,0.34
14,C32,364,Larynx,2,503,386,655,503,1.1,1.2,0.12
15,C33-34,364,"Trachea, bronchus and lung",2,3358,3148,3582,3358,7.4,7.9,0.89
16,C43,364,Melanoma of skin,2,311,223,433,311,0.68,0.73,0.07
17,C44,364,Non-melanoma skin cancer,2,1148,1026,1285,1148,2.5,2.7,0.30
18,C45,364,Mesothelioma,2,8,1,73,8,0.02,0.02,0.00
19,C46,364,Kaposi sarcoma,2,47,17,131,47,0.10,0.11,0.01
20,C50,364,Breast,2,15492,14987,16014,15492,30.5,36.3,3.1
21,C51,364,Vulva,2,48,17,132,48,0.10,0.11,0.01
22,C52,364,Vagina,2,55,21,141,55,0.12,0.13,0.01
23,C53,364,Cervix uteri,2,1265,1132,1413,1265,2.5,3.0,0.27
24,C54,364,Corpus uteri,2,1434,1292,1592,1434,3.1,3.4,0.36
25,C56,364,Ovary,2,2027,1856,2213,2027,4.2,4.8,0.44
29,C64,364,Kidney,2,758,658,873,758,1.7,1.8,0.19
30,C67,364,Bladder,2,901,793,1023,901,2.0,2.1,0.24
31,C70-72,364," Brain, central nervous system",2,2551,2364,2752,2551,5.6,6.0,0.55
32,C73,364,Thyroid,2,3017,2813,3236,3017,6.1,7.1,0.60
33,C81,364,Hodgkin lymphoma,2,494,418,584,494,1.1,1.2,0.10
34,C82-86+C88,364,Non-Hodgkin lymphoma,2,1286,1157,1429,1286,2.8,3.0,0.30
35,C90,364,Multiple myeloma,2,495,418,587,495,1.1,1.2,0.13
36,C91-95,364,Leukaemia,2,2530,2347,2727,2530,5.8,5.9,0.56
