Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,368,All cancers,2,21558,21235,21886,21558,144.1,103.6,14.5
1,C00-06,368,"Lip, oral cavity",2,154,113,209,154,1.1,0.74,0.13
2,C07-08,368,Salivary glands,2,74,47,117,74,0.50,0.36,0.05
3,C09-10,368,Oropharynx,2,4,1,27,4,0.03,0.02,0.01
4,C11,368,Nasopharynx,2,38,21,69,38,0.25,0.18,0.03
5,C12-13,368,Hypopharynx,2,18,7,45,18,0.12,0.09,0.01
6,C15,368,Oesophagus,2,145,105,200,145,1.1,0.70,0.13
7,C16,368,Stomach,2,581,495,682,581,4.2,2.8,0.48
41,C18-C21,368,Colorectum,2,1008,-,-,1008,7.3,4.8,0.84
11,C22,368,Liver and intrahepatic bile ducts,2,395,325,480,395,3.0,1.9,0.33
12,C23,368,Gallbladder,2,102,70,149,102,0.82,0.49,0.09
13,C25,368,Pancreas,2,262,206,334,262,2.1,1.3,0.25
14,C32,368,Larynx,2,119,83,171,119,0.92,0.57,0.11
15,C33-34,368,"Trachea, bronchus and lung",2,450,375,541,450,3.6,2.2,0.44
16,C43,368,Melanoma of skin,2,61,37,101,61,0.44,0.29,0.05
17,C44,368,Non-melanoma skin cancer,2,179,134,240,179,1.3,0.86,0.16
18,C45,368,Mesothelioma,2,7,2,30,7,0.05,0.03,0.01
19,C46,368,Kaposi sarcoma,2,20,8,47,20,0.16,0.10,0.02
20,C50,368,Breast,2,8626,8254,9015,8626,56.9,41.4,6.0
21,C51,368,Vulva,2,28,14,58,28,0.22,0.13,0.03
22,C52,368,Vagina,2,19,9,41,19,0.14,0.09,0.02
23,C53,368,Cervix uteri,2,311,249,388,311,2.2,1.5,0.25
24,C54,368,Corpus uteri,2,688,591,800,688,5.2,3.3,0.62
25,C56,368,Ovary,2,1002,887,1132,1002,6.7,4.8,0.73
29,C64,368,Kidney,2,377,310,459,377,2.5,1.8,0.27
30,C67,368,Bladder,2,348,284,427,348,2.8,1.7,0.35
31,C70-72,368," Brain, central nervous system",2,828,726,944,828,5.0,4.0,0.50
32,C73,368,Thyroid,2,1241,1109,1389,1241,7.0,6.0,0.65
33,C81,368,Hodgkin lymphoma,2,418,348,502,418,2.3,2.0,0.20
34,C82-86+C88,368,Non-Hodgkin lymphoma,2,994,883,1119,994,6.6,4.8,0.72
35,C90,368,Multiple myeloma,2,190,144,251,190,1.5,0.91,0.17
36,C91-95,368,Leukaemia,2,1066,949,1198,1066,6.3,5.1,0.60
