Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,368,All cancers,1,15824,15547,16106,15824,132.0,74.1,13.9
1,C00-06,368,"Lip, oral cavity",1,139,100,193,139,1.2,0.65,0.13
2,C07-08,368,Salivary glands,1,61,37,100,61,0.49,0.29,0.06
3,C09-10,368,Oropharynx,1,17,7,43,17,0.16,0.08,0.01
4,C11,368,Nasopharynx,1,137,98,191,137,0.94,0.64,0.10
5,C12-13,368,Hypopharynx,1,9,3,32,9,0.07,0.04,0.01
6,C15,368,Oesophagus,1,135,97,189,135,1.3,0.63,0.15
7,C16,368,Stomach,1,686,593,794,686,6.1,3.2,0.70
41,C18-C21,368,Colorectum,1,1312,-,-,1312,10.8,6.2,1.3
11,C22,368,Liver and intrahepatic bile ducts,1,412,341,497,412,3.9,1.9,0.46
12,C23,368,Gallbladder,1,76,48,120,76,0.72,0.36,0.08
13,C25,368,Pancreas,1,504,425,597,504,4.6,2.4,0.57
14,C32,368,Larynx,1,425,353,512,425,4.1,2.0,0.51
15,C33-34,368,"Trachea, bronchus and lung",1,2364,2186,2556,2364,23.5,11.1,2.8
16,C43,368,Melanoma of skin,1,50,29,86,50,0.40,0.23,0.05
17,C44,368,Non-melanoma skin cancer,1,221,171,285,221,2.0,1.0,0.22
18,C45,368,Mesothelioma,1,20,8,47,20,0.18,0.09,0.02
19,C46,368,Kaposi sarcoma,1,31,16,62,31,0.29,0.15,0.03
26,C60,368,Penis,1,3,0,28,3,0.03,0.01,0.00
27,C61,368,Prostate,1,1187,1061,1328,1187,12.7,5.6,1.5
28,C62,368,Testis,1,239,188,304,239,1.3,1.1,0.11
29,C64,368,Kidney,1,481,404,573,481,3.7,2.3,0.42
30,C67,368,Bladder,1,1146,1026,1280,1146,11.1,5.4,1.3
31,C70-72,368," Brain, central nervous system",1,941,832,1065,941,6.1,4.4,0.62
32,C73,368,Thyroid,1,377,311,457,377,2.5,1.8,0.26
33,C81,368,Hodgkin lymphoma,1,476,400,566,476,2.6,2.2,0.24
34,C82-86+C88,368,Non-Hodgkin lymphoma,1,936,828,1058,936,6.6,4.4,0.71
35,C90,368,Multiple myeloma,1,291,232,365,291,2.6,1.4,0.30
36,C91-95,368,Leukaemia,1,1192,1068,1330,1192,7.5,5.6,0.72
