Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,372,All cancers,2,13990,13675,14312,13990,307.5,553.7,28.5
1,C00-06,372,"Lip, oral cavity",2,89,63,125,89,2.0,3.5,0.24
2,C07-08,372,Salivary glands,2,20,12,34,20,0.52,0.79,0.05
3,C09-10,372,Oropharynx,2,29,19,43,29,0.76,1.2,0.10
4,C11,372,Nasopharynx,2,4,2,9,4,0.10,0.16,0.01
5,C12-13,372,Hypopharynx,2,8,4,16,8,0.17,0.32,0.03
6,C15,372,Oesophagus,2,167,131,213,167,3.0,6.6,0.32
7,C16,372,Stomach,2,181,144,227,181,3.4,7.2,0.38
41,C18-C21,372,Colorectum,2,1343,-,-,1343,26.1,53.2,2.8
11,C22,372,Liver and intrahepatic bile ducts,2,220,152,319,220,3.7,8.7,0.35
12,C23,372,Gallbladder,2,61,45,82,61,1.1,2.4,0.13
13,C25,372,Pancreas,2,323,275,380,323,6.1,12.8,0.68
14,C32,372,Larynx,2,41,28,59,41,0.95,1.6,0.11
15,C33-34,372,"Trachea, bronchus and lung",2,1529,1371,1705,1529,30.4,60.5,3.7
16,C43,372,Melanoma of skin,2,752,667,848,752,18.1,29.8,1.9
17,C44,372,Non-melanoma skin cancer,2,1513,1372,1669,1513,24.0,59.9,2.3
18,C45,372,Mesothelioma,2,8,4,16,8,0.16,0.32,0.02
19,C46,372,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,372,Breast,2,3688,3481,3907,3688,91.5,146.0,9.7
21,C51,372,Vulva,2,73,56,96,73,1.6,2.9,0.18
22,C52,372,Vagina,2,13,6,26,13,0.24,0.51,0.03
23,C53,372,Cervix uteri,2,242,198,296,242,7.5,9.6,0.69
24,C54,372,Corpus uteri,2,700,619,792,700,15.8,27.7,2.0
25,C56,372,Ovary,2,444,360,548,444,9.9,17.6,1.1
29,C64,372,Kidney,2,297,229,385,297,6.6,11.8,0.73
30,C67,372,Bladder,2,271,218,338,271,5.1,10.7,0.56
31,C70-72,372," Brain, central nervous system",2,184,147,230,184,5.1,7.3,0.49
32,C73,372,Thyroid,2,270,229,319,270,8.1,10.7,0.79
33,C81,372,Hodgkin lymphoma,2,76,59,98,76,2.8,3.0,0.22
34,C82-86+C88,372,Non-Hodgkin lymphoma,2,451,391,520,451,9.9,17.9,1.1
35,C90,372,Multiple myeloma,2,172,133,222,172,3.4,6.8,0.40
36,C91-95,372,Leukaemia,2,203,162,254,203,5.7,8.0,0.49
