Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,372,All cancers,1,17252,16906,17605,17252,386.3,691.8,36.0
1,C00-06,372,"Lip, oral cavity",1,251,200,315,251,6.3,10.1,0.77
2,C07-08,372,Salivary glands,1,38,26,54,38,0.79,1.5,0.09
3,C09-10,372,Oropharynx,1,94,74,119,94,2.5,3.8,0.31
4,C11,372,Nasopharynx,1,28,17,47,28,0.64,1.1,0.06
5,C12-13,372,Hypopharynx,1,49,35,69,49,1.1,2.0,0.16
6,C15,372,Oesophagus,1,353,266,468,353,7.8,14.2,0.95
7,C16,372,Stomach,1,353,285,437,353,7.4,14.2,0.72
41,C18-C21,372,Colorectum,1,1778,-,-,1778,38.9,71.3,4.5
11,C22,372,Liver and intrahepatic bile ducts,1,344,275,431,344,7.8,13.8,0.90
12,C23,372,Gallbladder,1,23,14,38,23,0.44,0.92,0.04
13,C25,372,Pancreas,1,371,314,438,371,7.8,14.9,0.91
14,C32,372,Larynx,1,162,117,224,162,3.7,6.5,0.47
15,C33-34,372,"Trachea, bronchus and lung",1,1557,1435,1689,1557,32.6,62.4,3.9
16,C43,372,Melanoma of skin,1,815,695,956,815,18.4,32.7,2.0
17,C44,372,Non-melanoma skin cancer,1,2845,2610,3102,2845,53.1,114.1,5.1
18,C45,372,Mesothelioma,1,51,37,70,51,0.96,2.1,0.12
19,C46,372,Kaposi sarcoma,1,6,3,14,6,0.19,0.24,0.02
26,C60,372,Penis,1,51,36,72,51,1.2,2.1,0.14
27,C61,372,Prostate,1,4216,3950,4500,4216,99.8,169.1,12.5
28,C62,372,Testis,1,173,138,218,173,6.6,6.9,0.53
29,C64,372,Kidney,1,586,509,675,586,14.5,23.5,1.6
30,C67,372,Bladder,1,715,638,802,715,14.6,28.7,1.6
31,C70-72,372," Brain, central nervous system",1,245,195,307,245,7.0,9.8,0.69
32,C73,372,Thyroid,1,83,64,108,83,2.4,3.3,0.25
33,C81,372,Hodgkin lymphoma,1,107,76,150,107,3.6,4.3,0.31
34,C82-86+C88,372,Non-Hodgkin lymphoma,1,577,491,678,577,13.5,23.1,1.5
35,C90,372,Multiple myeloma,1,266,206,343,266,5.7,10.7,0.68
36,C91-95,372,Leukaemia,1,365,303,440,365,9.3,14.6,0.91
