Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,376,All cancers,2,15692,15436,15952,15692,244.1,350.6,23.4
1,C00-06,376,"Lip, oral cavity",2,122,82,182,122,1.6,2.7,0.16
2,C07-08,376,Salivary glands,2,38,22,66,38,0.59,0.85,0.06
3,C09-10,376,Oropharynx,2,6,1,32,6,0.10,0.13,0.01
4,C11,376,Nasopharynx,2,16,7,39,16,0.28,0.36,0.03
5,C12-13,376,Hypopharynx,2,4,1,31,4,0.06,0.09,0.01
6,C15,376,Oesophagus,2,58,44,77,58,0.66,1.3,0.07
7,C16,376,Stomach,2,340,272,425,340,4.5,7.6,0.46
41,C18-C21,376,Colorectum,2,1564,-,-,1564,21.3,35.0,2.2
11,C22,376,Liver and intrahepatic bile ducts,2,165,105,258,165,2.1,3.7,0.22
12,C23,376,Gallbladder,2,55,34,89,55,0.73,1.2,0.09
13,C25,376,Pancreas,2,571,490,665,571,6.9,12.8,0.75
14,C32,376,Larynx,2,27,16,45,27,0.43,0.60,0.05
15,C33-34,376,"Trachea, bronchus and lung",2,1188,985,1434,1188,16.1,26.5,2.0
16,C43,376,Melanoma of skin,2,618,499,765,618,10.1,13.8,1.1
17,C44,376,Non-melanoma skin cancer,2,104,71,152,104,1.4,2.3,0.13
18,C45,376,Mesothelioma,2,11,4,32,11,0.16,0.25,0.02
19,C46,376,Kaposi sarcoma,2,47,27,81,47,0.51,1.1,0.05
20,C50,376,Breast,2,4618,4322,4934,4618,78.7,103.2,8.4
21,C51,376,Vulva,2,74,43,128,74,0.85,1.7,0.08
22,C52,376,Vagina,2,20,8,47,20,0.25,0.45,0.03
23,C53,376,Cervix uteri,2,330,272,400,330,6.2,7.4,0.63
24,C54,376,Corpus uteri,2,914,782,1068,914,14.3,20.4,1.8
25,C56,376,Ovary,2,492,414,585,492,7.7,11.0,0.81
29,C64,376,Kidney,2,283,230,348,283,4.5,6.3,0.52
30,C67,376,Bladder,2,358,292,439,358,4.7,8.0,0.54
31,C70-72,376," Brain, central nervous system",2,261,203,336,261,4.6,5.8,0.44
32,C73,376,Thyroid,2,867,674,1115,867,17.8,19.4,1.7
33,C81,376,Hodgkin lymphoma,2,118,86,161,118,2.6,2.6,0.20
34,C82-86+C88,376,Non-Hodgkin lymphoma,2,693,605,793,693,10.6,15.5,1.2
35,C90,376,Multiple myeloma,2,258,182,365,258,3.6,5.8,0.42
36,C91-95,376,Leukaemia,2,420,350,504,420,6.2,9.4,0.60
