Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,376,All cancers,1,14746,14498,14999,14746,250.3,331.6,25.7
1,C00-06,376,"Lip, oral cavity",1,109,76,156,109,1.9,2.5,0.21
2,C07-08,376,Salivary glands,1,61,32,117,61,0.99,1.4,0.11
3,C09-10,376,Oropharynx,1,18,8,42,18,0.33,0.40,0.04
4,C11,376,Nasopharynx,1,41,22,75,41,0.83,0.92,0.09
5,C12-13,376,Hypopharynx,1,11,4,32,11,0.18,0.25,0.02
6,C15,376,Oesophagus,1,111,79,157,111,1.7,2.5,0.19
7,C16,376,Stomach,1,456,419,496,456,7.4,10.3,0.86
41,C18-C21,376,Colorectum,1,1676,-,-,1676,28.6,37.7,3.2
11,C22,376,Liver and intrahepatic bile ducts,1,211,160,278,211,3.6,4.7,0.42
12,C23,376,Gallbladder,1,19,13,27,19,0.28,0.43,0.03
13,C25,376,Pancreas,1,614,530,711,614,9.6,13.8,1.1
14,C32,376,Larynx,1,168,144,196,168,2.9,3.8,0.37
15,C33-34,376,"Trachea, bronchus and lung",1,1818,1654,1998,1818,29.9,40.9,3.7
16,C43,376,Melanoma of skin,1,699,557,877,699,11.8,15.7,1.3
17,C44,376,Non-melanoma skin cancer,1,100,70,144,100,1.6,2.3,0.16
18,C45,376,Mesothelioma,1,38,17,87,38,0.59,0.85,0.07
19,C46,376,Kaposi sarcoma,1,44,26,74,44,0.66,0.99,0.07
26,C60,376,Penis,1,9,1,71,9,0.14,0.20,0.02
27,C61,376,Prostate,1,2656,2382,2961,2656,44.6,59.7,6.3
28,C62,376,Testis,1,136,100,185,136,3.1,3.1,0.24
29,C64,376,Kidney,1,609,499,744,609,11.6,13.7,1.4
30,C67,376,Bladder,1,1515,1373,1672,1515,24.0,34.1,2.8
31,C70-72,376," Brain, central nervous system",1,289,232,360,289,5.6,6.5,0.54
32,C73,376,Thyroid,1,333,274,405,333,6.7,7.5,0.71
33,C81,376,Hodgkin lymphoma,1,136,100,185,136,3.0,3.1,0.25
34,C82-86+C88,376,Non-Hodgkin lymphoma,1,987,862,1130,987,17.4,22.2,1.9
35,C90,376,Multiple myeloma,1,234,201,272,234,3.7,5.3,0.43
36,C91-95,376,Leukaemia,1,527,450,618,527,9.1,11.9,0.90
