Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,380,All cancers,2,204092,202204,205998,204092,264.1,660.8,25.2
1,C00-06,380,"Lip, oral cavity",2,1990,1699,2331,1990,2.0,6.4,0.21
2,C07-08,380,Salivary glands,2,613,442,849,613,0.80,2.0,0.08
3,C09-10,380,Oropharynx,2,477,338,673,477,0.64,1.5,0.08
4,C11,380,Nasopharynx,2,148,106,207,148,0.31,0.48,0.03
5,C12-13,380,Hypopharynx,2,104,72,151,104,0.16,0.34,0.02
6,C15,380,Oesophagus,2,742,610,902,742,0.78,2.4,0.09
7,C16,380,Stomach,2,5773,5335,6247,5773,5.0,18.7,0.54
41,C18-C21,380,Colorectum,2,25559,-,-,25559,26.0,82.8,3.0
11,C22,380,Liver and intrahepatic bile ducts,2,3802,3491,4140,3802,3.3,12.3,0.38
12,C23,380,Gallbladder,2,763,637,913,763,0.71,2.5,0.09
13,C25,380,Pancreas,2,8211,7800,8644,8211,7.0,26.6,0.77
14,C32,380,Larynx,2,611,465,803,611,0.79,2.0,0.10
15,C33-34,380,"Trachea, bronchus and lung",2,15358,14654,16096,15358,16.2,49.7,2.0
16,C43,380,Melanoma of skin,2,6444,5578,7445,6444,12.2,20.9,1.2
17,C44,380,Non-melanoma skin cancer,2,9944,7906,12508,9944,7.3,32.2,0.66
18,C45,380,Mesothelioma,2,679,572,806,679,0.64,2.2,0.08
19,C46,380,Kaposi sarcoma,2,216,152,307,216,0.19,0.70,0.02
20,C50,380,Breast,2,57480,55193,59862,57480,87.0,186.1,9.1
21,C51,380,Vulva,2,1728,1472,2028,1728,1.6,5.6,0.19
22,C52,380,Vagina,2,280,198,395,280,0.29,0.91,0.03
23,C53,380,Cervix uteri,2,2479,2094,2934,2479,5.0,8.0,0.50
24,C54,380,Corpus uteri,2,10202,9228,11279,10202,14.4,33.0,1.7
25,C56,380,Ovary,2,6021,5617,6454,6021,9.0,19.5,0.98
29,C64,380,Kidney,2,4576,4156,5038,4576,5.5,14.8,0.63
30,C67,380,Bladder,2,7369,6656,8159,7369,7.7,23.9,0.94
31,C70-72,380," Brain, central nervous system",2,2698,2438,2986,2698,4.3,8.7,0.43
32,C73,380,Thyroid,2,6581,5117,8464,6581,13.9,21.3,1.4
33,C81,380,Hodgkin lymphoma,2,967,724,1292,967,3.1,3.1,0.24
34,C82-86+C88,380,Non-Hodgkin lymphoma,2,6857,6250,7523,6857,9.4,22.2,1.1
35,C90,380,Multiple myeloma,2,3040,2701,3422,3040,3.1,9.8,0.38
36,C91-95,380,Leukaemia,2,4649,4295,5032,4649,6.9,15.1,0.63
