Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,392,All cancers,2,424622,422874,426378,424622,234.2,660.5,22.1
1,C00-06,392,"Lip, oral cavity",2,4543,3595,5741,4543,1.9,7.1,0.19
2,C07-08,392,Salivary glands,2,581,254,1331,581,0.36,0.90,0.04
3,C09-10,392,Oropharynx,2,453,221,929,453,0.24,0.70,0.03
4,C11,392,Nasopharynx,2,220,77,632,220,0.17,0.34,0.02
5,C12-13,392,Hypopharynx,2,409,180,931,409,0.30,0.64,0.03
6,C15,392,Oesophagus,2,4268,3533,5155,4268,2.3,6.6,0.27
7,C16,392,Stomach,2,42653,39137,46485,42653,15.9,66.4,1.8
41,C18-C21,392,Colorectum,2,65321,-,-,65321,28.5,101.6,3.2
11,C22,392,Liver and intrahepatic bile ducts,2,12710,11745,13754,12710,4.3,19.8,0.44
12,C23,392,Gallbladder,2,6327,5640,7098,6327,1.9,9.8,0.18
13,C25,392,Pancreas,2,24018,23028,25051,24018,7.2,37.4,0.73
14,C32,392,Larynx,2,355,35,3596,355,0.21,0.55,0.03
15,C33-34,392,"Trachea, bronchus and lung",2,40983,39298,42740,40983,15.8,63.8,1.8
16,C43,392,Melanoma of skin,2,786,446,1385,786,0.46,1.2,0.05
17,C44,392,Non-melanoma skin cancer,2,5730,945,34736,5730,1.7,8.9,0.13
18,C45,392,Mesothelioma,2,361,252,518,361,0.19,0.56,0.02
19,C46,392,Kaposi sarcoma,2,5,0,74,5,0.00,0.01,0.00
20,C50,392,Breast,2,91916,74980,112678,91916,74.4,143.0,7.8
21,C51,392,Vulva,2,1341,418,4306,1341,0.49,2.1,0.05
22,C52,392,Vagina,2,378,160,895,378,0.19,0.59,0.02
23,C53,392,Cervix uteri,2,10958,9147,13128,10958,12.5,17.0,1.2
24,C54,392,Corpus uteri,2,18338,12108,27773,18338,14.8,28.5,1.6
25,C56,392,Ovary,2,10693,9343,12238,10693,8.7,16.6,0.93
29,C64,392,Kidney,2,6332,4991,8034,6332,3.6,9.9,0.38
30,C67,392,Bladder,2,9436,7540,11809,9436,2.5,14.7,0.22
31,C70-72,392," Brain, central nervous system",2,2518,2024,3132,2518,2.3,3.9,0.19
32,C73,392,Thyroid,2,12041,4190,34605,12041,9.8,18.7,1.1
33,C81,392,Hodgkin lymphoma,2,509,35,7488,509,0.58,0.79,0.05
34,C82-86+C88,392,Non-Hodgkin lymphoma,2,16572,14316,19184,16572,6.3,25.8,0.64
35,C90,392,Multiple myeloma,2,3177,2818,3582,3177,1.1,4.9,0.12
36,C91-95,392,Leukaemia,2,5443,4891,6057,5443,5.1,8.5,0.41
