Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,400,All cancers,2,6634,6457,6816,6634,157.6,130.6,15.9
1,C00-06,400,"Lip, oral cavity",2,38,20,71,38,0.96,0.75,0.10
2,C07-08,400,Salivary glands,2,21,9,48,21,0.46,0.41,0.05
3,C09-10,400,Oropharynx,2,3,0,27,3,0.08,0.06,0.01
4,C11,400,Nasopharynx,2,26,12,55,26,0.57,0.51,0.06
5,C12-13,400,Hypopharynx,2,4,0,36,4,0.10,0.08,0.01
6,C15,400,Oesophagus,2,30,15,58,30,0.81,0.59,0.09
7,C16,400,Stomach,2,133,97,182,133,3.3,2.6,0.38
41,C18-C21,400,Colorectum,2,645,-,-,645,16.2,12.7,1.8
11,C22,400,Liver and intrahepatic bile ducts,2,87,58,131,87,2.3,1.7,0.25
12,C23,400,Gallbladder,2,46,26,81,46,1.2,0.91,0.14
13,C25,400,Pancreas,2,112,73,172,112,3.0,2.2,0.36
14,C32,400,Larynx,2,23,10,51,23,0.60,0.45,0.07
15,C33-34,400,"Trachea, bronchus and lung",2,195,148,257,195,5.1,3.8,0.57
16,C43,400,Melanoma of skin,2,19,8,46,19,0.47,0.37,0.05
17,C44,400,Non-melanoma skin cancer,2,71,46,111,71,1.9,1.4,0.22
18,C45,400,Mesothelioma,2,2,0,18,2,0.05,0.04,0.00
19,C46,400,Kaposi sarcoma,2,3,0,27,3,0.08,0.06,0.01
20,C50,400,Breast,2,2598,2398,2814,2598,60.0,51.1,6.4
21,C51,400,Vulva,2,12,4,36,12,0.32,0.24,0.03
22,C52,400,Vagina,2,11,3,41,11,0.28,0.22,0.03
23,C53,400,Cervix uteri,2,133,94,187,133,3.2,2.6,0.34
24,C54,400,Corpus uteri,2,271,216,341,271,7.3,5.3,0.93
25,C56,400,Ovary,2,240,188,306,240,5.7,4.7,0.66
29,C64,400,Kidney,2,92,61,138,92,2.3,1.8,0.24
30,C67,400,Bladder,2,71,46,110,71,1.9,1.4,0.22
31,C70-72,400," Brain, central nervous system",2,152,111,208,152,3.4,3.0,0.32
32,C73,400,Thyroid,2,442,367,532,442,9.4,8.7,0.90
33,C81,400,Hodgkin lymphoma,2,101,69,148,101,1.9,2.0,0.16
34,C82-86+C88,400,Non-Hodgkin lymphoma,2,237,187,300,237,5.7,4.7,0.64
35,C90,400,Multiple myeloma,2,80,52,123,80,2.1,1.6,0.26
36,C91-95,400,Leukaemia,2,296,230,381,296,6.7,5.8,0.64
