Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,408,All cancers,2,32135,31657,32621,32135,155.0,242.0,16.1
1,C00-06,408,"Lip, oral cavity",2,121,114,128,121,0.50,0.91,0.05
2,C07-08,408,Salivary glands,2,52,46,59,52,0.31,0.39,0.03
3,C09-10,408,Oropharynx,2,13,11,16,13,0.05,0.10,0.01
4,C11,408,Nasopharynx,2,105,102,108,105,0.54,0.79,0.06
5,C12-13,408,Hypopharynx,2,7,5,11,7,0.03,0.05,0.00
6,C15,408,Oesophagus,2,281,279,283,281,1.1,2.1,0.12
7,C16,408,Stomach,2,1845,1808,1882,1845,8.1,13.9,0.94
41,C18-C21,408,Colorectum,2,3467,-,-,3467,15.5,26.1,1.9
11,C22,408,Liver and intrahepatic bile ducts,2,2029,1959,2101,2029,8.8,15.3,1.1
12,C23,408,Gallbladder,2,551,481,632,551,2.3,4.2,0.27
13,C25,408,Pancreas,2,943,839,1060,943,3.9,7.1,0.44
14,C32,408,Larynx,2,94,69,128,94,0.42,0.71,0.06
15,C33-34,408,"Trachea, bronchus and lung",2,6908,6716,7106,6908,29.8,52.0,3.6
16,C43,408,Melanoma of skin,2,54,47,62,54,0.27,0.41,0.03
17,C44,408,Non-melanoma skin cancer,2,178,162,196,178,0.78,1.3,0.08
18,C45,408,Mesothelioma,2,38,25,58,38,0.16,0.29,0.01
19,C46,408,Kaposi sarcoma,2,3,1,12,3,0.02,0.02,0.00
20,C50,408,Breast,2,5943,5534,6382,5943,32.3,44.8,3.4
21,C51,408,Vulva,2,56,47,66,56,0.26,0.42,0.03
22,C52,408,Vagina,2,30,23,39,30,0.14,0.23,0.02
23,C53,408,Cervix uteri,2,2153,2077,2231,2153,11.8,16.2,1.2
24,C54,408,Corpus uteri,2,870,823,920,870,4.5,6.6,0.52
25,C56,408,Ovary,2,1123,1067,1182,1123,5.9,8.5,0.66
29,C64,408,Kidney,2,462,432,494,462,2.3,3.5,0.26
30,C67,408,Bladder,2,486,438,539,486,2.0,3.7,0.24
31,C70-72,408," Brain, central nervous system",2,533,511,556,533,2.9,4.0,0.31
32,C73,408,Thyroid,2,868,723,1042,868,5.2,6.5,0.49
33,C81,408,Hodgkin lymphoma,2,63,26,153,63,0.37,0.47,0.03
34,C82-86+C88,408,Non-Hodgkin lymphoma,2,343,326,361,343,1.7,2.6,0.20
35,C90,408,Multiple myeloma,2,109,101,118,109,0.50,0.82,0.06
36,C91-95,408,Leukaemia,2,676,638,716,676,4.1,5.1,0.38
