Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,408,All cancers,1,29398,28941,29863,29398,187.5,231.2,20.0
1,C00-06,408,"Lip, oral cavity",1,216,204,228,216,1.3,1.7,0.16
2,C07-08,408,Salivary glands,1,60,54,67,60,0.38,0.47,0.04
3,C09-10,408,Oropharynx,1,69,59,81,69,0.40,0.54,0.05
4,C11,408,Nasopharynx,1,239,235,243,239,1.5,1.9,0.17
5,C12-13,408,Hypopharynx,1,89,78,101,89,0.55,0.70,0.06
6,C15,408,Oesophagus,1,1327,1316,1338,1327,8.3,10.4,0.99
7,C16,408,Stomach,1,3467,3425,3509,3467,22.1,27.3,2.7
41,C18-C21,408,Colorectum,1,3761,-,-,3761,23.8,29.6,2.9
11,C22,408,Liver and intrahepatic bile ducts,1,4151,4083,4220,4151,25.4,32.7,3.0
12,C23,408,Gallbladder,1,417,332,523,417,2.7,3.3,0.32
13,C25,408,Pancreas,1,878,792,973,878,5.7,6.9,0.67
14,C32,408,Larynx,1,487,451,526,487,2.9,3.8,0.37
15,C33-34,408,"Trachea, bronchus and lung",1,7865,7764,7968,7865,50.1,61.9,6.0
16,C43,408,Melanoma of skin,1,43,39,48,43,0.28,0.34,0.03
17,C44,408,Non-melanoma skin cancer,1,143,133,153,143,0.92,1.1,0.10
18,C45,408,Mesothelioma,1,34,26,45,34,0.22,0.27,0.03
19,C46,408,Kaposi sarcoma,1,2,1,4,2,0.02,0.02,0.00
26,C60,408,Penis,1,57,51,64,57,0.38,0.45,0.04
27,C61,408,Prostate,1,525,516,535,525,3.7,4.1,0.39
28,C62,408,Testis,1,56,50,63,56,0.39,0.44,0.03
29,C64,408,Kidney,1,698,668,729,698,4.3,5.5,0.51
30,C67,408,Bladder,1,1113,1068,1160,1113,7.2,8.8,0.84
31,C70-72,408," Brain, central nervous system",1,553,529,578,553,3.8,4.4,0.38
32,C73,408,Thyroid,1,218,146,326,218,1.4,1.7,0.13
33,C81,408,Hodgkin lymphoma,1,66,40,108,66,0.49,0.52,0.04
34,C82-86+C88,408,Non-Hodgkin lymphoma,1,357,340,375,357,2.3,2.8,0.26
35,C90,408,Multiple myeloma,1,106,101,112,106,0.66,0.83,0.08
36,C91-95,408,Leukaemia,1,713,683,745,713,5.4,5.6,0.48
