Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,410,All cancers,2,109656,108975,110341,109656,228.5,427.6,21.4
1,C00-06,410,"Lip, oral cavity",2,552,475,642,552,1.0,2.2,0.11
2,C07-08,410,Salivary glands,2,221,174,281,221,0.52,0.86,0.05
3,C09-10,410,Oropharynx,2,76,50,115,76,0.15,0.30,0.02
4,C11,410,Nasopharynx,2,101,78,131,101,0.24,0.39,0.02
5,C12-13,410,Hypopharynx,2,35,19,64,35,0.06,0.14,0.01
6,C15,410,Oesophagus,2,290,242,348,290,0.50,1.1,0.06
7,C16,410,Stomach,2,9605,9398,9816,9605,16.9,37.5,1.9
41,C18-C21,410,Colorectum,2,12199,-,-,12199,20.1,47.6,2.2
11,C22,410,Liver and intrahepatic bile ducts,2,3505,3301,3722,3505,5.9,13.7,0.71
12,C23,410,Gallbladder,2,1660,1454,1895,1660,2.4,6.5,0.27
13,C25,410,Pancreas,2,4561,4327,4807,4561,6.9,17.8,0.78
14,C32,410,Larynx,2,73,50,106,73,0.12,0.28,0.01
15,C33-34,410,"Trachea, bronchus and lung",2,10154,9782,10540,10154,16.4,39.6,1.9
16,C43,410,Melanoma of skin,2,332,272,405,332,0.59,1.3,0.07
17,C44,410,Non-melanoma skin cancer,2,2882,2697,3079,2882,3.9,11.2,0.39
18,C45,410,Mesothelioma,2,49,29,82,49,0.09,0.19,0.01
19,C46,410,Kaposi sarcoma,2,12,4,34,12,0.02,0.05,0.00
20,C50,410,Breast,2,24772,24189,25369,24772,61.5,96.6,6.1
21,C51,410,Vulva,2,204,160,261,204,0.35,0.80,0.04
22,C52,410,Vagina,2,95,66,137,95,0.17,0.37,0.02
23,C53,410,Cervix uteri,2,3397,3186,3622,3397,8.6,13.3,0.81
24,C54,410,Corpus uteri,2,3314,3111,3530,3314,7.6,12.9,0.82
25,C56,410,Ovary,2,2799,2616,2994,2799,6.5,10.9,0.67
29,C64,410,Kidney,2,1442,1315,1581,1442,2.9,5.6,0.33
30,C67,410,Bladder,2,1101,990,1225,1101,1.6,4.3,0.17
31,C70-72,410," Brain, central nervous system",2,986,885,1098,986,2.6,3.8,0.24
32,C73,410,Thyroid,2,14707,14268,15160,14707,39.5,57.4,3.8
33,C81,410,Hodgkin lymphoma,2,139,101,192,139,0.48,0.54,0.04
34,C82-86+C88,410,Non-Hodgkin lymphoma,2,2237,2076,2410,2237,4.7,8.7,0.51
35,C90,410,Multiple myeloma,2,978,813,1176,978,1.6,3.8,0.20
36,C91-95,410,Leukaemia,2,1443,1315,1584,1443,4.2,5.6,0.36
