Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,410,All cancers,1,128045,127309,128785,128045,252.5,498.5,25.8
1,C00-06,410,"Lip, oral cavity",1,1145,1030,1273,1145,2.3,4.5,0.28
2,C07-08,410,Salivary glands,1,319,261,390,319,0.71,1.2,0.08
3,C09-10,410,Oropharynx,1,713,585,869,713,1.4,2.8,0.18
4,C11,410,Nasopharynx,1,354,302,414,354,0.84,1.4,0.09
5,C12-13,410,Hypopharynx,1,497,387,638,497,0.93,1.9,0.12
6,C15,410,Oesophagus,1,2147,1988,2319,2147,4.1,8.4,0.53
7,C16,410,Stomach,1,19662,19403,19925,19662,38.4,76.6,4.7
41,C18-C21,410,Colorectum,1,17361,-,-,17361,33.8,67.6,4.0
11,C22,410,Liver and intrahepatic bile ducts,1,11286,10884,11703,11286,22.3,43.9,2.6
12,C23,410,Gallbladder,1,1604,1468,1752,1604,2.9,6.2,0.35
13,C25,410,Pancreas,1,4330,4104,4569,4330,8.2,16.9,0.98
14,C32,410,Larynx,1,1183,1056,1326,1183,2.2,4.6,0.29
15,C33-34,410,"Trachea, bronchus and lung",1,21183,20798,21575,21183,38.6,82.5,4.5
16,C43,410,Melanoma of skin,1,330,271,401,330,0.67,1.3,0.08
17,C44,410,Non-melanoma skin cancer,1,1856,1709,2015,1856,3.5,7.2,0.38
18,C45,410,Mesothelioma,1,160,109,235,160,0.31,0.62,0.04
19,C46,410,Kaposi sarcoma,1,58,36,93,58,0.10,0.23,0.01
26,C60,410,Penis,1,109,77,153,109,0.20,0.42,0.02
27,C61,410,Prostate,1,16374,15687,17091,16374,29.3,63.8,3.7
28,C62,410,Testis,1,297,240,368,297,1.2,1.2,0.09
29,C64,410,Kidney,1,3345,3148,3554,3345,7.2,13.0,0.82
30,C67,410,Bladder,1,4808,4571,5057,4808,8.9,18.7,1.0
31,C70-72,410," Brain, central nervous system",1,1146,1032,1272,1146,3.2,4.5,0.30
32,C73,410,Thyroid,1,2935,2744,3140,2935,7.6,11.4,0.75
33,C81,410,Hodgkin lymphoma,1,201,159,254,201,0.61,0.78,0.05
34,C82-86+C88,410,Non-Hodgkin lymphoma,1,3088,2900,3288,3088,6.9,12.0,0.75
35,C90,410,Multiple myeloma,1,1129,974,1308,1129,2.1,4.4,0.26
36,C91-95,410,Leukaemia,1,2338,2174,2515,2338,6.9,9.1,0.61
