Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,414,All cancers,1,2120,2026,2218,2120,97.8,79.0,10.3
1,C00-06,414,"Lip, oral cavity",1,45,27,74,45,1.6,1.7,0.21
2,C07-08,414,Salivary glands,1,11,1,88,11,0.44,0.41,0.05
3,C09-10,414,Oropharynx,1,5,1,17,5,0.15,0.19,0.02
4,C11,414,Nasopharynx,1,31,16,59,31,0.86,1.2,0.11
5,C12-13,414,Hypopharynx,1,8,1,64,8,0.36,0.30,0.04
6,C15,414,Oesophagus,1,24,11,50,24,1.4,0.89,0.15
7,C16,414,Stomach,1,55,34,89,55,2.6,2.1,0.29
41,C18-C21,414,Colorectum,1,261,-,-,261,11.1,9.7,1.3
11,C22,414,Liver and intrahepatic bile ducts,1,105,73,150,105,5.0,3.9,0.55
12,C23,414,Gallbladder,1,13,4,48,13,0.63,0.48,0.08
13,C25,414,Pancreas,1,73,48,111,73,3.4,2.7,0.39
14,C32,414,Larynx,1,41,23,72,41,1.9,1.5,0.21
15,C33-34,414,"Trachea, bronchus and lung",1,155,117,206,155,7.7,5.8,0.94
16,C43,414,Melanoma of skin,1,9,1,72,9,0.25,0.34,0.03
17,C44,414,Non-melanoma skin cancer,1,12,4,34,12,0.47,0.45,0.06
18,C45,414,Mesothelioma,1,14,5,43,14,0.57,0.52,0.08
19,C46,414,Kaposi sarcoma,1,5,1,40,5,0.21,0.19,0.04
26,C60,414,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,414,Prostate,1,274,221,340,274,16.6,10.2,1.9
28,C62,414,Testis,1,20,9,45,20,0.63,0.75,0.05
29,C64,414,Kidney,1,69,45,106,69,3.1,2.6,0.34
30,C67,414,Bladder,1,125,92,171,125,6.2,4.7,0.65
31,C70-72,414," Brain, central nervous system",1,57,36,91,57,2.2,2.1,0.23
32,C73,414,Thyroid,1,58,36,93,58,1.9,2.2,0.20
33,C81,414,Hodgkin lymphoma,1,58,36,93,58,2.1,2.2,0.18
34,C82-86+C88,414,Non-Hodgkin lymphoma,1,153,115,204,153,5.9,5.7,0.63
35,C90,414,Multiple myeloma,1,42,24,73,42,2.1,1.6,0.20
36,C91-95,414,Leukaemia,1,140,104,189,140,6.4,5.2,0.55
