Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,417,All cancers,2,3895,3731,4066,3895,117.6,114.6,12.2
1,C00-06,417,"Lip, oral cavity",2,36,11,119,36,1.1,1.1,0.09
2,C07-08,417,Salivary glands,2,16,1,235,16,0.46,0.47,0.04
3,C09-10,417,Oropharynx,2,5,0,74,5,0.16,0.15,0.02
4,C11,417,Nasopharynx,2,12,2,70,12,0.36,0.35,0.04
5,C12-13,417,Hypopharynx,2,21,1,309,21,0.64,0.62,0.06
6,C15,417,Oesophagus,2,63,36,109,63,1.9,1.9,0.20
7,C16,417,Stomach,2,292,222,383,292,9.0,8.6,1.1
41,C18-C21,417,Colorectum,2,217,-,-,217,6.7,6.4,0.80
11,C22,417,Liver and intrahepatic bile ducts,2,158,112,223,158,5.0,4.7,0.61
12,C23,417,Gallbladder,2,39,8,202,39,1.3,1.2,0.17
13,C25,417,Pancreas,2,130,89,190,130,4.1,3.8,0.53
14,C32,417,Larynx,2,10,1,147,10,0.32,0.29,0.04
15,C33-34,417,"Trachea, bronchus and lung",2,185,134,254,185,5.7,5.4,0.69
16,C43,417,Melanoma of skin,2,24,2,353,24,0.70,0.71,0.06
17,C44,417,Non-melanoma skin cancer,2,139,9,2045,139,4.2,4.1,0.32
18,C45,417,Mesothelioma,2,2,0,29,2,0.06,0.06,0.01
19,C46,417,Kaposi sarcoma,2,4,0,59,4,0.10,0.12,0.01
20,C50,417,Breast,2,852,389,1864,852,25.3,25.1,2.7
21,C51,417,Vulva,2,34,2,500,34,1.0,1.0,0.10
22,C52,417,Vagina,2,9,1,132,9,0.28,0.26,0.05
23,C53,417,Cervix uteri,2,479,308,746,479,14.1,14.1,1.5
24,C54,417,Corpus uteri,2,232,65,822,232,6.9,6.8,0.80
25,C56,417,Ovary,2,241,145,400,241,7.3,7.1,0.83
29,C64,417,Kidney,2,60,23,156,60,1.9,1.8,0.22
30,C67,417,Bladder,2,28,4,215,28,0.90,0.82,0.11
31,C70-72,417," Brain, central nervous system",2,113,60,211,113,3.4,3.3,0.33
32,C73,417,Thyroid,2,90,6,1324,90,2.7,2.7,0.29
33,C81,417,Hodgkin lymphoma,2,23,2,338,23,0.69,0.68,0.05
34,C82-86+C88,417,Non-Hodgkin lymphoma,2,38,10,144,38,1.2,1.1,0.13
35,C90,417,Multiple myeloma,2,10,2,56,10,0.31,0.29,0.04
36,C91-95,417,Leukaemia,2,106,47,238,106,3.2,3.1,0.28
