Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,418,All cancers,2,4522,4345,4706,4522,143.9,121.4,14.4
1,C00-06,418,"Lip, oral cavity",2,97,61,155,97,3.4,2.6,0.34
2,C07-08,418,Salivary glands,2,18,11,30,18,0.57,0.48,0.07
3,C09-10,418,Oropharynx,2,10,6,18,10,0.34,0.27,0.04
4,C11,418,Nasopharynx,2,85,63,114,85,2.7,2.3,0.28
5,C12-13,418,Hypopharynx,2,6,3,12,6,0.20,0.16,0.02
6,C15,418,Oesophagus,2,19,16,22,19,0.67,0.51,0.08
7,C16,418,Stomach,2,242,207,282,242,8.1,6.5,0.90
41,C18-C21,418,Colorectum,2,364,-,-,364,12.5,9.8,1.4
11,C22,418,Liver and intrahepatic bile ducts,2,407,384,432,407,14.3,10.9,1.6
12,C23,418,Gallbladder,2,34,6,179,34,1.2,0.91,0.13
13,C25,418,Pancreas,2,35,28,44,35,1.2,0.94,0.13
14,C32,418,Larynx,2,10,7,14,10,0.34,0.27,0.04
15,C33-34,418,"Trachea, bronchus and lung",2,266,259,273,266,9.1,7.1,1.1
16,C43,418,Melanoma of skin,2,13,4,42,13,0.39,0.35,0.04
17,C44,418,Non-melanoma skin cancer,2,56,46,68,56,2.0,1.5,0.21
18,C45,418,Mesothelioma,2,0,0,0,0,0.00,0.00,0.00
19,C46,418,Kaposi sarcoma,2,0,0,0,0,0.00,0.00,0.00
20,C50,418,Breast,2,1033,1015,1051,1033,31.6,27.7,3.3
21,C51,418,Vulva,2,19,12,30,19,0.61,0.51,0.07
22,C52,418,Vagina,2,8,2,30,8,0.27,0.21,0.04
23,C53,418,Cervix uteri,2,401,370,434,401,12.0,10.8,1.2
24,C54,418,Corpus uteri,2,100,98,102,100,3.3,2.7,0.39
25,C56,418,Ovary,2,184,152,223,184,5.5,4.9,0.57
29,C64,418,Kidney,2,28,25,32,28,0.94,0.75,0.09
30,C67,418,Bladder,2,21,18,25,21,0.70,0.56,0.07
31,C70-72,418," Brain, central nervous system",2,100,88,114,100,3.0,2.7,0.29
32,C73,418,Thyroid,2,276,253,301,276,7.8,7.4,0.75
33,C81,418,Hodgkin lymphoma,2,12,7,22,12,0.30,0.32,0.02
34,C82-86+C88,418,Non-Hodgkin lymphoma,2,117,104,132,117,3.6,3.1,0.38
35,C90,418,Multiple myeloma,2,37,23,60,37,1.3,0.99,0.17
36,C91-95,418,Leukaemia,2,159,146,173,159,4.6,4.3,0.40
