Cancer code,ICD Code,Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
39,C00-97,434,All cancers,1,4070,3906,4240,4070,150.8,114.6,14.9
1,C00-06,434,"Lip, oral cavity",1,37,15,93,37,1.4,1.0,0.16
2,C07-08,434,Salivary glands,1,6,1,68,6,0.20,0.17,0.02
3,C09-10,434,Oropharynx,1,4,0,39,4,0.18,0.11,0.02
4,C11,434,Nasopharynx,1,90,56,145,90,2.7,2.5,0.29
5,C12-13,434,Hypopharynx,1,5,1,23,5,0.16,0.14,0.00
6,C15,434,Oesophagus,1,44,22,87,44,1.7,1.2,0.24
7,C16,434,Stomach,1,111,74,167,111,4.0,3.1,0.48
41,C18-C21,434,Colorectum,1,452,-,-,452,16.8,12.7,1.7
11,C22,434,Liver and intrahepatic bile ducts,1,170,111,261,170,6.5,4.8,0.71
12,C23,434,Gallbladder,1,27,11,65,27,1.1,0.76,0.08
13,C25,434,Pancreas,1,125,83,187,125,4.6,3.5,0.50
14,C32,434,Larynx,1,152,104,222,152,5.6,4.3,0.62
15,C33-34,434,"Trachea, bronchus and lung",1,836,717,975,836,32.2,23.5,3.3
16,C43,434,Melanoma of skin,1,8,2,40,8,0.24,0.23,0.02
17,C44,434,Non-melanoma skin cancer,1,47,21,103,47,1.9,1.3,0.19
18,C45,434,Mesothelioma,1,8,3,22,8,0.27,0.23,0.03
19,C46,434,Kaposi sarcoma,1,12,3,53,12,0.47,0.34,0.08
26,C60,434,Penis,1,0,0,0,0,0.00,0.00,0.00
27,C61,434,Prostate,1,370,296,462,370,16.2,10.4,1.7
28,C62,434,Testis,1,25,10,62,25,0.61,0.70,0.06
29,C64,434,Kidney,1,127,85,191,127,4.7,3.6,0.51
30,C67,434,Bladder,1,423,340,527,423,16.5,11.9,1.8
31,C70-72,434," Brain, central nervous system",1,191,126,291,191,5.7,5.4,0.68
32,C73,434,Thyroid,1,42,19,95,42,1.2,1.2,0.12
33,C81,434,Hodgkin lymphoma,1,67,39,117,67,1.9,1.9,0.14
34,C82-86+C88,434,Non-Hodgkin lymphoma,1,183,122,274,183,6.0,5.2,0.67
35,C90,434,Multiple myeloma,1,44,17,115,44,1.8,1.2,0.19
36,C91-95,434,Leukaemia,1,159,109,232,159,5.6,4.5,0.51
